"DAILY HIGH, LOW AND CLOSING PRICES 2021 (April to June)",,,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
AAF,N,0000,ASIA ASSET,01-APR-21,      6.10,      5.80,      6.00,      5.80,24,16042,94511
AAF,N,0000,ASIA ASSET,05-APR-21,      6.10,      5.80,      6.00,      5.80,2,17,99.2
AAF,N,0000,ASIA ASSET,06-APR-21,      5.80,      5.80,      5.80,      5.80,8,3346,19406.8
AAF,N,0000,ASIA ASSET,07-APR-21,      5.90,      5.80,      5.90,      5.80,11,2563,14881.7
AAF,N,0,ASIA ASSET,08-APR-21,      6.30,      6.00,      6.10,      6.00,27,9338,57189.2
AAF,N,0000,ASIA ASSET,09-APR-21,      6.30,      6.20,      6.30,      6.30,18,402246,2533899.7
AAF,N,0000,ASIA ASSET,12-APR-21,      6.60,      6.20,      6.30,      6.30,39,42886,272824.1
AAF,N,0000,ASIA ASSET,15-APR-21,      6.50,      6.30,      6.40,      6.50,15,2012,12930.8
AAF,N,0000,ASIA ASSET,16-APR-21,      6.50,      6.10,      6.30,      6.50,20,11938,75145.6
AAF,N,0000,ASIA ASSET,19-APR-21,      6.40,      6.10,      6.30,      6.20,40,382884,2411567
AAF,N,0000,ASIA ASSET,20-APR-21,      6.50,      6.00,6.1,      6.40,56,205269,1244344
AAF,N,0000,ASIA ASSET,21-APR-21,      6.30,      6.10,      6.30,      6.10,14,2855,17918.5
AAF,N,0000,ASIA ASSET,22-APR-21,      6.30,      6.00,      6.10,      6.30,14,12703,77048.5
AAF,N,0000,ASIA ASSET,23-APR-21,      6.10,      5.90,      6.00,      6.10,6,6525,38760
AAF,N,0000,ASIA ASSET,27-APR-21,      6.20,      5.90,      6.00,      6.00,8,15030,90505
AAF,N,0000,ASIA ASSET,28-APR-21,      6.20,      6.00,      6.00,      6.20,5,4969,30001
AAF,N,0000,ASIA ASSET,29-APR-21,      6.10,      6.00,      6.00,      6.10,12,22557,135442.1
AAF,N,0000,ASIA ASSET,30-APR-21,      6.30,      6.10,      6.10,      6.10,6,37144,227088.6
AAF,N,0000,ASIA ASSET,03-MAY-21,      6.10,      5.90,      6.00,      5.90,23,180402,1083072.2
AAF,N,0000,ASIA ASSET,04-MAY-21,      6.30,      6.00,      6.20,      6.00,27,246100,1484174.2
AAF,N,0000,ASIA ASSET,05-MAY-21,      7.00,      6.20,      6.70,      6.20,179,401364,2619675.2
AAF,N,0000,ASIA ASSET,06-MAY-21,      7.90,      6.80,      7.10,      6.80,262,531977,3930373.1
AAF,N,0000,ASIA ASSET,07-MAY-21,      7.40,      6.80,      7.00,      7.20,49,391466,2740041.9
AAF,N,0000,ASIA ASSET,10-MAY-21,      7.20,      7.00,      7.00,      7.10,55,479654,3358660.4
AAF,N,0000,ASIA ASSET,11-MAY-21,      7.40,      6.80,      7.00,      6.80,5,2225,15755
AAF,N,0000,ASIA ASSET,12-MAY-21,      7.30,      6.80,      7.20,      7.00,12,5932,42697.7
AAF,N,0000,ASIA ASSET,13-MAY-21,      7.30,      6.90,      7.00,      6.90,8,11121,77875.9
AAF,N,0000,ASIA ASSET,17-MAY-21,      7.20,      6.90,      7.00,      7.20,13,15175,108660.2
AAF,N,0000,ASIA ASSET,18-MAY-21,      7.20,      6.90,      7.00,      7.20,9,7165,49570
AAF,N,0000,ASIA ASSET,19-MAY-21,      7.20,      6.90,      6.90,      7.20,6,11376,78497.7
AAF,N,0000,ASIA ASSET,20-MAY-21,      7.10,      7.00,      7.10,      7.00,14,140,993.5
AAF,N,0000,ASIA ASSET,21-MAY-21,      7.00,      6.70,      6.90,      7.00,8,6952,47834.7
AAF,N,0000,ASIA ASSET,24-MAY-21,      7.10,      6.60,      6.90,      6.70,21,13813,92311.7
AAF,N,0000,ASIA ASSET,25-MAY-21,      7.00,      6.50,      6.50,      6.60,9,9461,61754.5
AAF,N,0000,ASIA ASSET,28-MAY-21,      6.80,      6.70,      6.70,      6.80,3,40000,268022
AAF,N,0000,ASIA ASSET,31-MAY-21,      7.00,      6.90,      6.70,      7.00,2,22,151.9
AAF,N,0000,ASIA ASSET,01-JUN-21,      7.90,      7.00,      7.40,      7.00,61,298374,2224577
AAF,N,0000,ASIA ASSET,02-JUN-21,      7.40,      7.20,      7.20,      7.20,12,3650,26557
AAF,N,0000,ASIA ASSET,03-JUN-21,      7.40,      7.30,      7.30,      7.40,4,1010,7373.5
AAF,N,0000,ASIA ASSET,04-JUN-21,      7.10,      7.00,      7.30,      7.00,3,19,133.4
AAF,N,0000,ASIA ASSET,07-JUN-21,      7.10,      7.10,      7.10,      7.10,4,1010,7171
AAF,N,0000,ASIA ASSET,08-JUN-21,      7.20,      6.80,      6.80,      7.20,12,7120,48911.4
AAF,N,0000,ASIA ASSET,09-JUN-21,      7.20,      6.70,      7.00,      7.00,29,64050,438318.3
AAF,N,0000,ASIA ASSET,10-JUN-21,      7.00,      7.00,      7.00,      7.00,6,1940,13580
AAF,N,0000,ASIA ASSET,11-JUN-21,      7.10,      6.70,      6.90,      6.90,10,30002,204728
AAF,N,0000,ASIA ASSET,14-JUN-21,      8.30,      7.00,      7.90,      7.00,165,1256243,9841048.1
AAF,N,0000,ASIA ASSET,15-JUN-21,      8.00,      7.60,      7.60,      7.90,20,20313,158319.6
AAF,N,0000,ASIA ASSET,16-JUN-21,      7.80,      7.70,      7.70,      7.70,30,52052,400856.4
AAF,N,0000,ASIA ASSET,17-JUN-21,      7.80,      7.50,      7.70,      7.70,20,45270,346727.5
AAF,N,0000,ASIA ASSET,18-JUN-21,      7.90,      7.40,      7.80,      7.70,48,188477,1454249.9
AAF,N,0000,ASIA ASSET,21-JUN-21,      7.80,      7.60,      7.60,      7.80,10,3723,28418
AAF,N,0000,ASIA ASSET,22-JUN-21,      7.80,      7.60,      7.60,      7.80,10,10325,78482.4
AAF,N,0000,ASIA ASSET,23-JUN-21,      7.60,      7.50,      7.50,      7.50,2,1509,11318.4
AAF,N,0000,ASIA ASSET,25-JUN-21,      7.70,      7.50,      7.50,      7.70,13,2832,21279.6
