"DAILY HIGH, LOW AND CLOSING PRICES 2021 (July to September)",,,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
AAF,N,0000,ASIA ASSET,01-JUL-21,      7.50,      7.50,      7.50,      7.50,1,1000,7500
AAF,N,0000,ASIA ASSET,02-JUL-21,      7.80,      7.50,      7.60,      7.80,14,12412,94268.2
AAF,N,0000,ASIA ASSET,05-JUL-21,      7.70,      7.60,      7.60,      7.60,10,19253,146323.1
AAF,N,0000,ASIA ASSET,06-JUL-21,      7.70,      7.50,      7.60,      7.60,13,6030,45828
AAF,N,0000,ASIA ASSET,07-JUL-21,      7.70,      7.60,      7.70,      7.70,7,2163,16528.8
AAF,N,0000,ASIA ASSET,08-JUL-21,      8.30,      7.60,      8.00,      7.60,87,346309,2808493.3
AAF,N,0000,ASIA ASSET,09-JUL-21,      7.80,      7.60,      7.60,      7.80,21,28637,218236.5
AAF,N,0000,ASIA ASSET,12-JUL-21,      7.70,      7.50,      7.70,      7.60,14,15326,117949.2
AAF,N,0000,ASIA ASSET,13-JUL-21,      7.60,      7.50,      7.50,      7.50,18,35331,265033.5
AAF,N,0000,ASIA ASSET,14-JUL-21,      7.50,      7.40,      7.50,      7.50,4,1110,8315
AAF,N,0000,ASIA ASSET,15-JUL-21,      7.60,      7.40,      7.50,      7.40,5,9451,71781.5
AAF,N,0000,ASIA ASSET,16-JUL-21,      7.60,      7.50,      7.50,      7.60,3,365,2745
AAF,N,0000,ASIA ASSET,19-JUL-21,      7.60,      7.50,      7.60,      7.60,25,737,5601.1
AAF,N,0000,ASIA ASSET,20-JUL-21,      7.80,      7.50,      7.50,      7.70,7,205,1568.7
AAF,N,0000,ASIA ASSET,22-JUL-21,      8.30,      7.70,      8.00,      7.70,109,412836,3342625.3
AAF,N,0000,ASIA ASSET,26-JUL-21,      8.10,      7.70,      7.90,      8.10,37,11248,89777.2
AAF,N,0000,ASIA ASSET,27-JUL-21,      7.90,      7.80,      7.80,      7.90,12,786,6182.1
AAF,N,0000,ASIA ASSET,28-JUL-21,      8.00,      7.90,      7.80,      8.00,3,60,479
AAF,N,0000,ASIA ASSET,29-JUL-21,      8.00,      7.70,      7.90,      7.70,9,3062,23668
AAF,N,0000,ASIA ASSET,30-JUL-21,      7.90,      7.70,      7.80,      7.70,9,7382,58051.6
AAF,N,0000,ASIA ASSET,02-AUG-21,      7.80,      7.70,      7.70,      7.80,6,5545,42749
AAF,N,0000,ASIA ASSET,03-AUG-21,      7.80,      7.70,      7.70,      7.70,9,20504,157881.2
AAF,N,0000,ASIA ASSET,04-AUG-21,      7.80,      7.60,      7.70,      7.70,6,11605,89358.2
AAF,N,0000,ASIA ASSET,05-AUG-21,      7.60,      7.60,      7.60,      7.60,2,1329,10100.4
AAF,N,0000,ASIA ASSET,06-AUG-21,      7.70,      7.60,      7.70,      7.60,4,310,2381
AAF,N,0000,ASIA ASSET,09-AUG-21,      7.80,      7.60,      7.60,      7.80,7,7696,58789.6
AAF,N,0000,ASIA ASSET,10-AUG-21,      7.50,      7.00,      7.10,      7.50,13,9231,65276.1
AAF,N,0000,ASIA ASSET,11-AUG-21,      7.40,      7.10,      7.10,      7.10,2,5,36.7
AAF,N,0000,ASIA ASSET,12-AUG-21,      7.50,      7.10,      7.40,      7.10,8,4044,29685.7
AAF,N,0000,ASIA ASSET,13-AUG-21,      7.80,      7.40,      7.50,      7.50,10,20299,152315.6
AAF,N,0000,ASIA ASSET,16-AUG-21,      8.00,      7.50,      7.90,      7.50,3,660,5230
AAF,N,0000,ASIA ASSET,17-AUG-21,      7.90,      7.90,      7.90,      7.90,3,5950,47005
AAF,N,0000,ASIA ASSET,18-AUG-21,      9.80,      7.80,      8.50,      7.90,104,624426,5473586.6
AAF,N,0000,ASIA ASSET,19-AUG-21,      8.50,      7.80,      8.30,      8.00,21,30072,249295.1
AAF,N,0000,ASIA ASSET,20-AUG-21,      8.20,      8.20,      8.20,      8.20,5,1317,10799.4
AAF,N,0000,ASIA ASSET,23-AUG-21,      7.80,      7.70,      7.70,      7.80,24,93220,718292.5
AAF,N,0000,ASIA ASSET,24-AUG-21,      8.20,      7.10,      7.20,      7.90,119,391469,2903636.6
AAF,N,0000,ASIA ASSET,25-AUG-21,      7.60,      7.10,      7.50,      7.30,50,144850,1067130.2
AAF,N,0000,ASIA ASSET,26-AUG-21,      7.70,      7.40,      7.50,      7.60,21,61679,463636.8
AAF,N,0000,ASIA ASSET,27-AUG-21,      7.70,      7.10,      7.10,      7.70,31,46683,349396.7
AAF,N,0000,ASIA ASSET,30-AUG-21,      7.60,      7.10,      7.20,      7.40,28,65527,476705.6
AAF,N,0000,ASIA ASSET,31-AUG-21,      7.60,      7.40,      7.50,      7.40,28,58475,441039.3
AAF,N,0000,ASIA ASSET,01-SEP-21,      7.40,      7.10,      7.30,      7.40,18,45591,333232.8
AAF,N,0000,ASIA ASSET,02-SEP-21,      7.80,      7.20,      7.40,      7.30,30,52360,400328.2
AAF,N,0000,ASIA ASSET,03-SEP-21,      7.70,      7.20,      7.30,      7.70,18,13469,98992.7
AAF,N,0000,ASIA ASSET,06-SEP-21,      7.70,      7.30,      7.40,      7.30,20,60301,445950.5
AAF,N,0000,ASIA ASSET,07-SEP-21,      7.70,      7.20,      7.40,      7.70,16,25300,189875.2
AAF,N,0000,ASIA ASSET,08-SEP-21,      7.70,      7.10,      7.40,      7.40,27,30780,230338
AAF,N,0000,ASIA ASSET,09-SEP-21,      7.70,      7.30,      7.60,      7.30,19,48104,367696
AAF,N,0000,ASIA ASSET,10-SEP-21,      7.50,      7.30,      7.30,      7.40,16,39820,294147.3
AAF,N,0000,ASIA ASSET,13-SEP-21,      7.60,      7.00,      7.00,      7.30,66,144616,1028237
AAF,N,0000,ASIA ASSET,14-SEP-21,      7.30,      7.00,      7.10,      7.30,15,1268,9010.6
AAF,N,0000,ASIA ASSET,15-SEP-21,      7.30,      7.20,      7.20,      7.30,5,2526,18187.3
AAF,N,0000,ASIA ASSET,16-SEP-21,      7.90,      7.10,      7.70,      7.10,59,118417,910939.6
AAF,N,0000,ASIA ASSET,17-SEP-21,      7.80,      7.10,      7.60,      7.40,40,42456,315862.6
AAF,N,0000,ASIA ASSET,21-SEP-21,      7.80,      7.30,      7.70,      7.70,12,30101,230009.8
AAF,N,0000,ASIA ASSET,22-SEP-21,      7.60,      7.50,      7.50,      7.60,8,4000,30300.9
AAF,N,0000,ASIA ASSET,23-SEP-21,      7.70,      7.40,      7.60,      7.70,6,2951,22382.7
AAF,N,0000,ASIA ASSET,24-SEP-21,      7.80,      7.40,      7.60,      7.80,15,26344,199405.6
