"DAILY HIGH, LOW AND CLOSING PRICES 2021 (Octomber to December)",,,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
AAF,N,0000,ASIA ASSET,01-OCT-21,      7.80,      7.30,      7.60,      7.60,17,50010,381863.9
AAF,N,0000,ASIA ASSET,04-OCT-21,      7.80,      7.30,      7.60,      7.70,49,120689,893785.3
AAF,N,0000,ASIA ASSET,05-OCT-21,      8.40,      7.50,      7.80,      7.70,83,173679,1372857.5
AAF,N,0000,ASIA ASSET,06-OCT-21,      8.30,      7.90,      8.10,      7.90,38,83858,673060.3
AAF,N,0000,ASIA ASSET,07-OCT-21,      9.20,      7.80,      7.90,      8.30,260,781298,6890690.4
AAF,N,0000,ASIA ASSET,08-OCT-21,      8.40,      7.80,      7.90,      8.10,54,61078,498465.7
AAF,N,0000,ASIA ASSET,11-OCT-21,      8.20,      7.90,      8.10,      7.90,36,70453,558100.1
AAF,N,0000,ASIA ASSET,12-OCT-21,      8.10,      8.00,      8.00,      8.10,6,2653,21239.2
AAF,N,0000,ASIA ASSET,13-OCT-21,      8.20,      7.90,      7.90,      7.90,33,72544,577288.6
AAF,N,0000,ASIA ASSET,14-OCT-21,      8.50,      7.90,      7.90,      8.50,22,15285,124187.1
AAF,N,0000,ASIA ASSET,15-OCT-21,      8.20,      7.80,      7.80,      8.20,20,17049,133708.2
AAF,N,0000,ASIA ASSET,18-OCT-21,      8.10,      7.90,      7.90,      8.00,9,1189,9420.9
AAF,N,0000,ASIA ASSET,21-OCT-21,      8.50,      8.00,      8.40,      8.10,55,70497,586276.3
AAF,N,0000,ASIA ASSET,22-OCT-21,      8.30,      8.00,      8.00,      8.00,3,301,2408.3
AAF,N,0000,ASIA ASSET,25-OCT-21,      8.50,      7.90,      8.20,      8.20,30,9804,80473.4
AAF,N,0000,ASIA ASSET,26-OCT-21,      8.40,      8.00,      8.10,      8.00,24,15294,122582.6
AAF,N,0000,ASIA ASSET,27-OCT-21,      8.20,      7.90,      8.00,      8.10,16,4625,37303.4
AAF,N,0000,ASIA ASSET,28-OCT-21,      8.20,      8.00,      8.00,      8.20,24,7551,60693.2
AAF,N,0000,ASIA ASSET,29-OCT-21,      8.10,      7.90,      7.90,      8.00,20,24973,197357.3
AAF,N,0000,ASIA ASSET,01-NOV-21,      8.10,      7.90,      7.90,      8.10,15,5831,46214
AAF,N,0000,ASIA ASSET,02-NOV-21,      8.20,      7.80,      7.80,      8.20,13,20782,162576
AAF,N,0000,ASIA ASSET,03-NOV-21,      8.20,      7.70,      7.80,      8.00,20,40082,314711.2
AAF,N,0000,ASIA ASSET,05-NOV-21,      8.00,      7.80,      7.80,      7.80,24,9200,72771
AAF,N,0000,ASIA ASSET,08-NOV-21,      8.00,      7.60,      7.70,      8.00,52,33345,258231.8
AAF,N,0000,ASIA ASSET,09-NOV-21,      7.90,      7.50,      7.50,      7.90,66,49740,382861.8
AAF,N,0000,ASIA ASSET,10-NOV-21,      7.90,      7.60,      7.90,      7.80,11,204,1605.2
AAF,N,0000,ASIA ASSET,11-NOV-21,      8.50,      7.70,      8.30,      7.70,84,44554,361578.8
