"DAILY HIGH, LOW AND CLOSING PRICES 2022 (January to March)",,,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
AAF,N,0000,ASIA ASSET,03-JAN-22,      9.00,      8.20,      8.50,      8.40,67,195403,1727142.6
AAF,N,0000,ASIA ASSET,04-JAN-22,      8.50,      8.10,      8.50,      8.50,53,132677,1114958.4
AAF,N,0000,ASIA ASSET,05-JAN-22,      9.60,      8.50,      8.90,      8.50,378,1393358,12749459.8
AAF,N,0000,ASIA ASSET,06-JAN-22,     11.00,      8.70,     10.20,      9.00,460,2087387,20763503
AAF,N,0000,ASIA ASSET,07-JAN-22,     10.50,      9.50,     10.10,     10.40,160,580725,5899162.2
AAF,N,0000,ASIA ASSET,10-JAN-22,     10.20,      9.80,      9.90,     10.20,70,220088,2199627.5
AAF,N,0000,ASIA ASSET,11-JAN-22,     10.10,      9.80,     10.00,      9.80,55,129268,1279904.4
AAF,N,0000,ASIA ASSET,12-JAN-22,     10.10,      9.70,      9.90,     10.00,35,93466,924771.2
AAF,N,0000,ASIA ASSET,13-JAN-22,      9.90,      9.40,      9.50,      9.60,41,90181,858591.5
AAF,N,0000,ASIA ASSET,18-JAN-22,      9.90,      9.10,      9.20,      9.50,78,161432,1514833.8
AAF,N,0000,ASIA ASSET,19-JAN-22,      9.50,      9.20,      9.50,      9.30,28,30728,288151.2
AAF,N,0000,ASIA ASSET,20-JAN-22,      9.50,      9.20,      9.30,      9.50,20,67459,636286.1
AAF,N,0000,ASIA ASSET,21-JAN-22,      9.40,      9.00,      9.10,      9.30,37,172824,1572894.5
AAF,N,0000,ASIA ASSET,24-JAN-22,      9.20,      9.00,      9.00,      9.10,14,15501,139962
AAF,N,0000,ASIA ASSET,25-JAN-22,      9.00,      8.90,      8.90,      9.00,34,58976,527236.4
AAF,N,0000,ASIA ASSET,26-JAN-22,      9.10,      8.20,      9.00,      8.80,27,40917,358734.2
AAF,N,0000,ASIA ASSET,27-JAN-22,      9.20,      8.50,      8.70,      8.70,35,53126,468309.2
AAF,N,0000,ASIA ASSET,28-JAN-22,      9.00,      8.70,      8.70,      8.80,27,56864,499773.8
AAF,N,0000,ASIA ASSET,31-JAN-22,      9.30,      8.70,      8.80,      9.00,79,106854,944293.5
AAF,N,0000,ASIA ASSET,01-FEB-22,      9.50,      8.70,      8.80,      8.90,28,52766,468428.2
AAF,N,0000,ASIA ASSET,02-FEB-22,      9.00,      8.60,      8.70,      8.90,31,160774,1388123.2
AAF,N,0000,ASIA ASSET,03-FEB-22,      9.20,      8.60,      8.80,      9.00,27,40633,365732.4
AAF,N,0000,ASIA ASSET,07-FEB-22,      9.20,      8.60,      9.00,      9.00,56,93849,834674.3
AAF,N,0000,ASIA ASSET,08-FEB-22,      9.20,      8.60,      8.60,      9.20,29,45975,398297.4
AAF,N,0000,ASIA ASSET,09-FEB-22,      9.10,      8.50,      8.70,      8.60,46,17985,155025.1
AAF,N,0000,ASIA ASSET,10-FEB-22,      8.90,      8.40,      8.90,      8.40,7,1559,13725.1
AAF,N,0000,ASIA ASSET,11-FEB-22,      8.80,      8.50,      8.60,      8.80,13,13080,111959
AAF,N,0000,ASIA ASSET,14-FEB-22,      8.80,      8.50,      8.50,      8.50,18,33450,284625
AAF,N,0000,ASIA ASSET,15-FEB-22,      8.60,      8.50,      8.50,      8.60,10,8666,73782.3
AAF,N,0000,ASIA ASSET,17-FEB-22,      8.60,      8.60,      8.60,      8.60,10,200,1720
AAF,N,0000,ASIA ASSET,18-FEB-22,      8.70,      8.10,      8.20,      8.50,25,96296,788366
AAF,N,0000,ASIA ASSET,21-FEB-22,      8.60,      8.00,      8.00,      8.00,47,17683,141647.5
AAF,N,0000,ASIA ASSET,22-FEB-22,      8.20,      7.70,      8.00,      8.20,22,16230,129528.6
AAF,N,0000,ASIA ASSET,23-FEB-22,      8.50,      7.80,      7.90,      8.10,35,20244,162257.7
AAF,N,0000,ASIA ASSET,24-FEB-22,      8.30,      7.50,      7.70,      8.00,29,27814,216573.7
AAF,N,0000,ASIA ASSET,25-FEB-22,      8.30,      7.50,      8.30,      7.50,24,24750,201346.6
AAF,N,0000,ASIA ASSET,28-FEB-22,      8.30,      8.00,      8.10,      8.20,19,122459,992168.3
AAF,N,0000,ASIA ASSET,02-MAR-22,      8.00,      8.00,      8.00,      8.00,8,6030,48240
AAF,N,0000,ASIA ASSET,03-MAR-22,      7.80,      7.70,      7.80,      7.70,2,450,3480
AAF,N,0000,ASIA ASSET,04-MAR-22,      7.80,      7.70,      7.80,      7.70,12,66235,516553
AAF,N,0000,ASIA ASSET,07-MAR-22,      7.90,      7.90,      7.90,      7.90,5,17845,140975.5
AAF,N,0000,ASIA ASSET,08-MAR-22,      7.80,      7.50,      7.50,      7.80,17,49360,372085
AAF,N,0000,ASIA ASSET,09-MAR-22,      8.10,      8.00,      8.00,      8.10,4,1245,10060
AAF,N,0000,ASIA ASSET,10-MAR-22,      8.00,      7.60,      8.00,      8.00,8,16214,129705.5
AAF,N,0000,ASIA ASSET,11-MAR-22,      7.90,      7.70,      7.90,      7.90,6,5100,40270
AAF,N,0000,ASIA ASSET,14-MAR-22,      7.90,      7.90,      7.90,      7.90,2,100,790
AAF,N,0000,ASIA ASSET,15-MAR-22,      7.90,      7.30,      7.50,      7.70,12,37615,284285.5
AAF,N,0000,ASIA ASSET,16-MAR-22,      7.50,      7.20,      7.20,      7.50,17,28830,207600
AAF,N,0000,ASIA ASSET,18-MAR-22,      8.00,      7.70,      7.90,      8.00,4,1550,12260
AAF,N,0000,ASIA ASSET,22-MAR-22,      7.90,      7.60,      7.90,      7.60,5,3010,23179
AAF,N,0000,ASIA ASSET,23-MAR-22,      7.90,      7.40,      7.40,      7.50,4,1515,11273.5
AAF,N,0000,ASIA ASSET,25-MAR-22,      7.70,      7.70,      7.70,      7.70,1,25000,192500
AAF,N,0000,ASIA ASSET,28-MAR-22,      7.40,      6.90,      7.00,      7.40,32,127016,892100
AAF,N,0000,ASIA ASSET,29-MAR-22,      7.20,      6.00,      6.20,      7.00,22,41799,256374.1
AAF,N,0000,ASIA ASSET,30-MAR-22,      6.20,      5.40,      6.00,      6.00,33,194056,1148005
AAF,N,0000,ASIA ASSET,31-MAR-22,      6.90,      6.50,      6.70,      6.50,7,451,3011.9
AAF,P,0000,ASIA ASSET,03-JAN-22,      9.90,      9.60,      9.60,      9.60,3,343,3295.8
AAF,P,0000,ASIA ASSET,04-JAN-22,      9.80,      9.80,      9.80,      9.80,7,1374,13465.2
AAF,P,0000,ASIA ASSET,05-JAN-22,     10.10,      9.90,     10.00,     10.00,16,13390,134346.3
