"DAILY HIGH, LOW AND CLOSING PRICES 2022 (April to June ) ",,,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
AAF,N,0000,ASIA ASSET,01-APR-22,      7.00,      6.50,      6.90,      6.50,5,10000,69250
AAF,N,0000,ASIA ASSET,04-APR-22,      6.80,      6.60,      6.60,      6.80,2,575,3810
AAF,N,0000,ASIA ASSET,05-APR-22,      7.00,      6.90,      6.90,      6.90,6,471,3251.9
AAF,N,0000,ASIA ASSET,06-APR-22,      7.00,      6.60,      6.70,      7.00,9,4971,34117.3
AAF,N,0000,ASIA ASSET,07-APR-22,      6.30,      6.30,      6.30,      6.30,6,1922,12108.6
AAF,N,0000,ASIA ASSET,08-APR-22,      6.20,      6.20,      6.20,      6.20,3,130,806
AAF,N,0000,ASIA ASSET,25-APR-22,      6.00,      6.00,      6.00,      6.00,5,3090,18540
AAF,N,0000,ASIA ASSET,27-APR-22,      6.00,      6.00,      6.00,      6.00,3,1499,8994
AAF,N,0000,ASIA ASSET,28-APR-22,      6.00,      6.00,      6.00,      6.00,4,2900,17400
AAF,N,0000,ASIA ASSET,29-APR-22,      7.40,      5.90,      6.00,      6.50,14,34609,207674.9
AAF,N,0000,ASIA ASSET,04-MAY-22,      6.70,      6.70,      6.00,      6.70,2,85,569.5
AAF,N,0000,ASIA ASSET,05-MAY-22,      6.00,      6.00,      6.00,      6.00,2,5000,30000
AAF,N,0000,ASIA ASSET,06-MAY-22,      6.30,      5.80,      5.90,      6.30,61,583711,3445903
AAF,N,0000,ASIA ASSET,09-MAY-22,      6.00,      5.80,      5.90,      5.90,4,1588,9338.2
AAF,N,0000,ASIA ASSET,12-MAY-22,      6.00,      5.80,      5.90,      6.00,10,8060,47355
AAF,N,0000,ASIA ASSET,13-MAY-22,      6.50,      5.90,      6.50,      5.90,4,2562,15453
AAF,N,0000,ASIA ASSET,17-MAY-22,      6.80,      6.00,      6.80,      6.00,8,8247,54234.8
AAF,N,0000,ASIA ASSET,18-MAY-22,      7.00,      6.20,      7.00,      7.00,5,8600,60089.8
AAF,N,0000,ASIA ASSET,19-MAY-22,      6.30,      6.30,      6.30,      6.30,3,200,1260
AAF,N,0000,ASIA ASSET,20-MAY-22,      6.90,      6.80,      6.80,      6.90,9,9501,65106.8
AAF,N,0000,ASIA ASSET,23-MAY-22,      6.90,      6.20,      6.80,      6.90,6,6357,43375.5
AAF,N,0000,ASIA ASSET,24-MAY-22,      6.90,      6.80,      6.80,      6.80,5,1036,7046.3
AAF,N,0000,ASIA ASSET,25-MAY-22,      6.80,      6.20,      6.20,      6.80,9,4660,29076
AAF,N,0000,ASIA ASSET,26-MAY-22,      6.40,      6.40,      6.40,      6.40,4,1015,6496
AAF,N,0000,ASIA ASSET,27-MAY-22,      6.40,      6.40,      6.40,      6.40,2,65,416
AAF,N,0000,ASIA ASSET,30-MAY-22,      6.90,      6.10,      6.20,      6.90,7,15208,94290.2
AAF,N,0000,ASIA ASSET,31-MAY-22,      6.40,      6.10,      6.10,      6.20,5,5018,30619.4
AAF,N,0000,ASIA ASSET,01-JUN-22,      6.70,      6.10,      6.10,      6.70,7,4012,24477.7
AAF,N,0000,ASIA ASSET,02-JUN-22,      6.50,      6.20,      6.50,      6.50,15,3163,20244.5
AAF,N,0000,ASIA ASSET,03-JUN-22,      6.50,      6.20,      6.50,      6.20,8,2737,17285.5
AAF,N,0000,ASIA ASSET,06-JUN-22,      6.20,      5.90,      6.00,      6.20,15,54122,326201.6
AAF,N,0000,ASIA ASSET,07-JUN-22,      6.00,      6.00,      6.00,      6.00,6,8000,48000
AAF,N,0000,ASIA ASSET,08-JUN-22,      6.40,      6.40,      6.00,      6.40,2,90,576
AAF,N,0000,ASIA ASSET,10-JUN-22,      6.40,      6.00,      6.00,      6.40,12,8204,49264
AAF,N,0000,ASIA ASSET,13-JUN-22,      6.10,      5.80,      5.80,      6.10,33,15760,91724
AAF,N,0000,ASIA ASSET,15-JUN-22,      5.80,      5.70,      5.80,      5.80,5,4000,23025.5
AAF,N,0000,ASIA ASSET,16-JUN-22,      6.00,      5.90,      6.00,      5.90,8,244695,1467995.5
AAF,N,0000,ASIA ASSET,17-JUN-22,      6.00,      5.90,      6.00,      6.00,2,340,2036
AAF,N,0000,ASIA ASSET,20-JUN-22,      5.90,      5.80,      5.90,      5.80,6,1585,9233
AAF,N,0000,ASIA ASSET,21-JUN-22,      6.10,      5.90,      5.90,      5.90,3,352,2077.8
AAF,N,0000,ASIA ASSET,22-JUN-22,      6.00,      5.80,      5.90,      5.90,8,2037,11919.6
AAF,N,0000,ASIA ASSET,23-JUN-22,      5.80,      5.60,      5.80,      5.80,8,10001,58005.6
AAF,N,0000,ASIA ASSET,24-JUN-22,      6.00,      5.70,      5.70,      6.00,19,13489,77653.3
AAF,N,0000,ASIA ASSET,27-JUN-22,      6.00,      5.70,      5.70,      6.00,13,79049,450585.3
AAF,N,0000,ASIA ASSET,28-JUN-22,      5.80,      5.80,      5.70,      5.80,1,6,34.8
AAF,N,0000,ASIA ASSET,29-JUN-22,      5.60,      5.60,      5.60,      5.60,2,1000,5600
AAF,N,0000,ASIA ASSET,30-JUN-22,      5.70,      5.60,      5.60,      5.70,4,937,5287.2
AAF,P,0000,ASIA ASSET,06-APR-22,      8.30,      8.30,     11.00,      8.30,1,1,8.3
AAF,P,0000,ASIA ASSET,09-MAY-22,      8.40,      8.40,     11.00,      8.40,1,90,756
AAF,P,0000,ASIA ASSET,12-MAY-22,     10.80,      8.90,     10.80,      8.90,3,310,2949
AAF,P,0000,ASIA ASSET,13-MAY-22,     10.70,     10.70,     10.80,     10.70,1,5,53.5
AAF,P,0000,ASIA ASSET,31-MAY-22,     11.50,     11.50,     10.80,     11.50,1,1,11.5
AAF,P,0000,ASIA ASSET,02-JUN-22,     11.20,     11.00,     10.80,     11.00,3,3,33.2
AAF,P,0000,ASIA ASSET,08-JUN-22,     11.10,      8.50,     10.80,      8.50,2,13,136.5
AAIC,N,0000,Softlogic Life,01-APR-22,     41.00,     38.50,     38.70,     41.00,39,33355,1319454.8
AAIC,N,0000,Softlogic Life,04-APR-22,     46.00,     35.00,     39.80,     38.70,302,216376,8577200.4
AAIC,N,0000,Softlogic Life,05-APR-22,     53.90,     43.00,     47.50,     43.70,402,331324,15412996
AAIC,N,0000,Softlogic Life,06-APR-22,     55.50,     47.00,     49.40,     53.90,579,511140,26069835
AAIC,N,0000,Softlogic Life,07-APR-22,     49.40,     44.00,     45.10,     49.40,182,201271,9132218.1
AAIC,N,0000,Softlogic Life,08-APR-22,     47.00,     42.50,     45.20,     45.10,207,246459,10971669.3
AAIC,N,0000,Softlogic Life,25-APR-22,     39.80,     36.20,     38.50,     39.80,43,26802,1032704.1
AAIC,N,0000,Softlogic Life,26-APR-22,     33.00,     30.80,     30.90,     33.00,49,30819,973117
AAIC,N,0000,Softlogic Life,27-APR-22,     44.50,     27.00,     36.70,     29.00,410,913338,28582212.9
AAIC,N,0000,Softlogic Life,28-APR-22,     47.40,     30.50,     42.30,     38.00,554,528527,21034685
AAIC,N,0000,Softlogic Life,29-APR-22,     46.80,     36.00,     38.80,     45.00,382,295977,11946103.5
AAIC,N,0000,Softlogic Life,04-MAY-22,     41.90,     36.00,     39.70,     38.80,147,101760,3954743.2
AAIC,N,0000,Softlogic Life,05-MAY-22,     42.00,     38.00,     39.60,     42.00,75,30445,1189626.7
AAIC,N,0000,Softlogic Life,06-MAY-22,     38.90,     36.00,     37.80,     38.00,142,176397,6630110.4
AAIC,N,0000,Softlogic Life,09-MAY-22,     41.40,     35.00,     40.20,     35.00,158,104196,4134676.3
AAIC,N,0000,Softlogic Life,12-MAY-22,     43.00,     38.50,     42.10,     41.00,239,242669,10182095.1
AAIC,N,0000,Softlogic Life,13-MAY-22,     58.00,     43.10,     51.80,     43.10,764,1092899,53433843.5
AAIC,N,0000,Softlogic Life,17-MAY-22,     77.00,     57.90,     72.50,     58.00,1577,1915517,127552988.8
