"DAILY HIGH, LOW AND CLOSING PRICES 2022 (July to September ) ",,,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
AAF,N,0,ASIA ASSET,2022-07-01 00:00:00,5.8,5.6,5.6,5.6,8,2083,11665.2
AAF,N,0,ASIA ASSET,2022-07-04 00:00:00,6,5.7,5.8,6,8,1740,10021
AAF,N,0,ASIA ASSET,2022-07-05 00:00:00,6,6,5.8,6,1,10,60
AAF,N,0,ASIA ASSET,2022-07-06 00:00:00,6,6,5.8,6,1,12,72
AAF,N,0,ASIA ASSET,2022-07-07 00:00:00,5.7,5.5,5.6,5.7,12,30729,173369.4
AAF,N,0,ASIA ASSET,2022-07-08 00:00:00,5.8,5.8,5.6,5.8,1,10,58
AAF,N,0,ASIA ASSET,2022-07-11 00:00:00,5.6,5.6,5.6,5.6,1,90,504
AAF,N,0,ASIA ASSET,2022-07-12 00:00:00,5.8,5.7,5.8,5.8,16,11091,64307.8
AAF,N,0,ASIA ASSET,2022-07-14 00:00:00,6,5.8,5.9,5.8,7,1431,8433
AAF,N,0,ASIA ASSET,2022-07-15 00:00:00,5.9,5.9,5.9,5.9,14,23730,140007
AAF,N,0,ASIA ASSET,2022-07-18 00:00:00,6.5,5.8,6.2,6,38,52577,320657.8
AAF,N,0,ASIA ASSET,2022-07-19 00:00:00,6.2,5.9,6,6.2,36,60350,363557
AAF,N,0,ASIA ASSET,2022-07-20 00:00:00,6.2,6.2,6.2,6.2,7,1844,11432.8
AAF,N,0,ASIA ASSET,2022-07-21 00:00:00,6.2,5.5,5.8,6.2,53,100653,566393.1
AAF,N,0,ASIA ASSET,2022-07-22 00:00:00,6.1,5.6,5.6,6.1,5,425,2404.5
AAF,N,0,ASIA ASSET,2022-07-25 00:00:00,5.9,5.6,5.6,5.7,13,25926,145198.6
AAF,N,0,ASIA ASSET,2022-07-26 00:00:00,5.7,5.6,5.6,5.7,10,22858,128028.2
AAF,N,0,ASIA ASSET,2022-07-27 00:00:00,5.6,5.5,5.5,5.6,13,17142,94589
AAF,N,0,ASIA ASSET,2022-07-28 00:00:00,6.2,5.9,6,5.9,29,56883,339586.6
AAF,N,0,ASIA ASSET,2022-07-29 00:00:00,5.8,5.8,5.8,5.8,6,5400,31320
AAF,N,0,ASIA ASSET,2022-08-01 00:00:00,6.1,5.7,5.9,6,8,7723,45574.8
AAF,N,0,ASIA ASSET,2022-08-02 00:00:00,5.9,5.9,5.9,5.9,9,7858,46362.2
AAF,N,0,ASIA ASSET,2022-08-03 00:00:00,5.9,5.9,5.9,5.9,3,500,2950
AAF,N,0,ASIA ASSET,2022-08-04 00:00:00,6.2,5.7,5.9,5.8,14,3660,21184.5
AAF,N,0,ASIA ASSET,2022-08-05 00:00:00,6.3,5.9,5.9,6.2,16,4740,28202.7
AAF,N,0,ASIA ASSET,2022-08-08 00:00:00,6.3,5.9,5.9,6.2,31,60358,366389.5
AAF,N,0,ASIA ASSET,2022-08-09 00:00:00,6.3,6.3,5.9,6.3,2,25,157.5
AAF,N,0,ASIA ASSET,2022-08-10 00:00:00,6.3,6,6.3,6.3,5,213,1340.5
AAF,N,0,ASIA ASSET,2022-08-12 00:00:00,6.2,6,6.1,6,10,5673,34642.7
AAF,N,0,ASIA ASSET,2022-08-15 00:00:00,6.2,6,6.1,6.2,10,12440,76824.6
AAF,N,0,ASIA ASSET,2022-08-16 00:00:00,6.2,6,6.1,6.1,10,5355,32850.5
AAF,N,0,ASIA ASSET,2022-08-17 00:00:00,6.1,5.9,5.9,6.1,12,4227,25131.3
AAF,N,0,ASIA ASSET,2022-08-18 00:00:00,5.8,5,5.8,5.1,61,93903,486745.9
AAF,N,0,ASIA ASSET,2022-08-19 00:00:00,6,5.8,6,5.8,11,10277,61655.9
AAF,N,0,ASIA ASSET,2022-08-22 00:00:00,6,5.9,6,6,8,3445,20666.6
AAF,N,0,ASIA ASSET,2022-08-23 00:00:00,6.1,5.9,6,6.1,8,1195,7186.8
AAF,N,0,ASIA ASSET,2022-08-24 00:00:00,6.2,5.9,6,6.2,4,13,80.3
AAF,N,0,ASIA ASSET,2022-08-25 00:00:00,6,5.6,5.7,6,22,30062,170759.9
AAF,N,0,ASIA ASSET,2022-08-26 00:00:00,6,6,5.7,6,2,11,66
AAF,N,0,ASIA ASSET,2022-08-29 00:00:00,6,6,5.7,6,1,10,60
AAF,N,0,ASIA ASSET,2022-08-30 00:00:00,6,6,6,6,8,2506,15036
AAF,N,0,ASIA ASSET,2022-08-31 00:00:00,6.1,6,6.1,6.1,6,1955,11866
AAF,N,0,ASIA ASSET,2022-09-01 00:00:00,6,5.6,5.8,6,16,27073,152931.1
AAF,N,0,ASIA ASSET,2022-09-02 00:00:00,6,5.9,5.9,6,14,7302,43646
AAF,N,0,ASIA ASSET,2022-09-05 00:00:00,6,5.8,5.8,6,8,13999,83662.8
AAF,N,0,ASIA ASSET,2022-09-06 00:00:00,6,5.8,5.8,5.9,8,3425,20024.4
AAF,N,0,ASIA ASSET,2022-09-07 00:00:00,5.9,5.6,5.7,5.9,36,30949,175784.1
AAF,N,0,ASIA ASSET,2022-09-08 00:00:00,6,5.7,5.9,5.7,21,26645,153384.5
AAF,N,0,ASIA ASSET,2022-09-09 00:00:00,6.1,5.9,5.9,6,15,2951,17703.9
AAF,N,0,ASIA ASSET,2022-09-12 00:00:00,5.9,5.8,5.9,5.9,8,100536,593132.4
AAF,N,0,ASIA ASSET,2022-09-13 00:00:00,6.2,5.8,6.2,5.9,22,578720,3424159.5
AAF,N,0,ASIA ASSET,2022-09-14 00:00:00,6.2,6,6.2,6.2,24,77630,476510.7
AAF,N,0,ASIA ASSET,2022-09-15 00:00:00,6.8,6.2,6.6,6.2,102,195611,1266997.9
AAF,N,0,ASIA ASSET,2022-09-16 00:00:00,6.8,6.4,6.5,6.7,44,45661,299398.7
AAF,N,0,ASIA ASSET,2022-09-19 00:00:00,6.7,6.3,6.6,6.7,20,27421,180374.7
AAF,N,0,ASIA ASSET,2022-09-20 00:00:00,7.5,6.7,7.2,6.7,121,175016,1237559.1
AAF,N,0,ASIA ASSET,2022-09-21 00:00:00,7.9,7.3,7.4,7.3,155,122074,921877.8
AAF,N,0,ASIA ASSET,2022-09-22 00:00:00,7.5,7,7,7.3,44,80255,575919.7
AAF,N,0,ASIA ASSET,2022-09-23 00:00:00,7,6.9,6.9,7,16,17068,117811
AAF,N,0,ASIA ASSET,2022-09-26 00:00:00,8,6.5,7.7,6.9,73,250671,1930206.6
AAF,N,0,ASIA ASSET,2022-09-27 00:00:00,8.1,7,7.5,7.9,95,184103,1395110.4
