"DAILY HIGH, LOW AND CLOSING PRICES 2024 (January to December)",,,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
AAF,N,0000,ASIA ASSET,04-JAN-24,     12.00,     12.00,     12.00,     12.00,3,1452,17424
AAF,N,0000,ASIA ASSET,05-JAN-24,     12.50,     12.00,     12.50,     12.00,4,23400,281550
AAF,N,0000,ASIA ASSET,09-JAN-24,     12.00,     12.00,     12.00,     12.00,4,20000,240000
AAF,N,0000,ASIA ASSET,12-JAN-24,     12.50,     12.00,     12.00,     12.00,2,111,1337.5
AAF,N,0000,ASIA ASSET,16-JAN-24,     12.00,     12.00,     12.00,     12.00,1,2000,24000
AAF,N,0000,ASIA ASSET,17-JAN-24,     12.00,     12.00,     12.00,     12.00,2,2800,33600
AAF,N,0000,ASIA ASSET,18-JAN-24,     12.50,     12.50,     12.00,     12.50,1,1,12.5
AAF,N,0000,ASIA ASSET,19-JAN-24,     12.00,     12.00,     12.00,     12.00,2,1399,16788
AAF,N,0000,ASIA ASSET,22-JAN-24,     12.00,     12.00,     12.00,     12.00,2,2800,33600
AAF,N,0000,ASIA ASSET,23-JAN-24,     12.10,     11.80,     12.00,     12.00,17,80352,964217.4
AAF,N,0000,ASIA ASSET,24-JAN-24,     12.00,     11.10,     11.20,     12.00,6,3512,40417
AAF,N,0000,ASIA ASSET,26-JAN-24,     12.10,     12.00,     12.00,     12.00,9,26263,315456
AAF,N,0000,ASIA ASSET,29-JAN-24,     12.00,     12.00,     12.00,     12.00,1,2000,24000
AAF,N,0000,ASIA ASSET,30-JAN-24,     12.10,     12.00,     12.00,     12.00,3,1286,15442
AAF,N,0000,ASIA ASSET,31-JAN-24,     12.00,     12.00,     12.00,     12.00,6,5766,69192
AAF,N,0000,ASIA ASSET,01-FEB-24,     12.00,     12.00,     12.00,     12.00,4,4050,48600
AAF,N,0000,ASIA ASSET,02-FEB-24,     12.00,     12.00,     12.00,     12.00,1,1000,12000
AAF,N,0000,ASIA ASSET,06-FEB-24,     12.00,     12.00,     12.00,     12.00,1,1000,12000
AAF,N,0000,ASIA ASSET,07-FEB-24,     12.00,     12.00,     12.00,     12.00,1,1350,16200
AAF,N,0000,ASIA ASSET,08-FEB-24,     12.90,     12.00,     12.70,     12.00,34,102902,1295545.7
AAF,N,0000,ASIA ASSET,09-FEB-24,     12.60,     12.60,     12.60,     12.60,2,100,1260
AAF,N,0000,ASIA ASSET,12-FEB-24,     12.80,     12.80,     12.80,     12.80,1,1000,12800
AAF,N,0000,ASIA ASSET,13-FEB-24,     12.80,     12.80,     12.80,     12.80,5,101,1292.8
AAF,N,0000,ASIA ASSET,14-FEB-24,     12.70,     12.70,     12.80,     12.70,3,50,635
