Crossings 2019 (January to December),,,,,,
QUARTER,TRADE DATE,COMPANY NAME,SECURITY ID,PRICE,QUANTITY,TURNOVER
2019-1,1/7/2019,HATTON NATIONAL BANK PLC,HNB.N0000,205,308000,63140000
2019-1,1/8/2019,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,22,2000000,44000000
2019-1,1/8/2019,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,21.9,2000000,43800000
2019-1,1/8/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154,2000000,308000000
2019-1,1/8/2019,TEEJAY LANKA PLC,TJL.N0000,33.8,3000000,101400000
2019-1,1/10/2019,SAMPATH BANK PLC,SAMP.N0000,217.5,95886,20855205
2019-1,1/10/2019,SAMPATH BANK PLC,SAMP.N0000,219,100000,21900000
2019-1,1/11/2019,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,252471,28781694
2019-1,1/11/2019,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,442000,50388000
2019-1,1/11/2019,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,250000,28500000
2019-1,1/11/2019,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,235000,26790000
2019-1,1/11/2019,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,279646,31879644
2019-1,1/11/2019,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,247529,28218306
2019-1,1/11/2019,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,220000,25080000
2019-1,1/11/2019,HATTON NATIONAL BANK PLC,HNB.N0000,205,105240,21574200
2019-1,1/11/2019,HATTON NATIONAL BANK PLC,HNB.N0000,205,194355,39842775
2019-1,1/11/2019,MELSTACORP PLC,MELS.N0000,51,1500000,76500000
2019-1,1/14/2019,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,200000,22800000
2019-1,1/14/2019,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,429690,48984660
2019-1,1/14/2019,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,500000,57000000
2019-1,1/14/2019,HUNAS FALLS HOTELS PLC,HUNA.N0000,187,899000,168113000
2019-1,1/14/2019,HUNAS FALLS HOTELS PLC,HUNA.N0000,187,2824820,528241340
2019-1,1/14/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,152.5,598827,91321117.5
2019-1,1/14/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,152.5,152273,23221632.5
2019-1,1/14/2019,LION BREWERY (CEYLON) PLC,LION.N0000,555,95057,52756635
2019-1,1/16/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,151.5,400000,60600000
2019-1,1/16/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,151.5,203000,30754500
2019-1,1/16/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,151.5,200000,30300000
2019-1,1/16/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,151.5,349012,52875318
2019-1,1/16/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,151.5,322150,48805725
2019-1,1/16/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,151.5,527408,79902312
2019-1,1/16/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,151.5,2677850,405694275
2019-1,1/16/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,151.5,350000,53025000
2019-1,1/17/2019,HUNAS FALLS HOTELS PLC,HUNA.N0000,187,281720,52681640
2019-1,1/17/2019,HUNAS FALLS HOTELS PLC,HUNA.N0000,187,206636,38640932
2019-1,1/17/2019,HUNAS FALLS HOTELS PLC,HUNA.N0000,187,152799,28573413
2019-1,1/18/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154.5,200000,30900000
2019-1,1/18/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154.5,500000,77250000
2019-1,1/18/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154.5,220000,33990000
2019-1,1/18/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154.5,150000,23175000
2019-1,1/18/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154.5,500000,77250000
2019-1,1/18/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154.5,500000,77250000
2019-1,1/21/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154.5,208000,32136000
2019-1,1/21/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154.5,292000,45114000
2019-1,1/23/2019,C T HOLDINGS PLC,CTHR.N0000,174,244000,42456000
2019-1,1/24/2019,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,95,3505066,332981270
2019-1,1/24/2019,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,95,250000,23750000
2019-1,1/24/2019,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,95,678430,64450850
2019-1,1/24/2019,SAMPATH BANK PLC,SAMP.N0000,229,200000,45800000
2019-1,1/28/2019,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,95,2017853,191696035
2019-1,1/28/2019,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,100,1000000,100000000
2019-1,1/29/2019,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,100,1000000,100000000
2019-1,1/29/2019,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,100,800000,80000000
2019-1,1/29/2019,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,100,1854474,185447400
2019-1,1/29/2019,CEYLINCO INSURANCE PLC,CINS.N0000,1910,50000,95500000
2019-1,1/29/2019,CEYLON COLD STORES PLC,CCS.N0000,680,36500,24820000
2019-1,1/30/2019,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,100,250000,25000000
2019-1,1/30/2019,CEYLINCO INSURANCE PLC,CINS.N0000,1910,198000,378180000
2019-1,1/30/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,158.3,156750,24813525
2019-1,1/31/2019,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,100,200000,20000000
2019-1,1/31/2019,CEYLON TOBACCO COMPANY PLC,CTC.N0000,1420,27950,39689000
2019-1,1/31/2019,CEYLON TOBACCO COMPANY PLC,CTC.N0000,1420,54976,78065920
2019-1,2/1/2019,CEYLON TOBACCO COMPANY PLC,CTC.N0000,1420,100920,143306400
2019-1,2/1/2019,CEYLON TOBACCO COMPANY PLC,CTC.N0000,1420,67279,95536180
2019-1,2/1/2019,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,1789304,203980656
2019-1,2/1/2019,PIRAMAL GLASS CEYLON PLC,GLAS.N0000,4.1,5000000,20500000
2019-1,2/1/2019,PIRAMAL GLASS CEYLON PLC,GLAS.N0000,4.1,5000000,20500000
2019-1,2/5/2019,COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,97.8,300000,29340000
2019-1,2/6/2019,HATTON NATIONAL BANK PLC,HNB.N0000,203,628171,127518713
2019-1,2/7/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,156,500000,78000000
2019-1,2/7/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,156,666555,103982580
2019-1,2/7/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,156,600160,93624960
2019-1,2/7/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,156,399840,62375040
2019-1,2/7/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,156,500000,78000000
2019-1,2/7/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,156,1000000,156000000
2019-1,2/8/2019,CEYLINCO INSURANCE PLC,CINS.N0000,1920,50000,96000000
2019-1,2/8/2019,SAMPATH BANK PLC,SAMP.N0000,238,142000,33796000
2019-1,2/8/2019,UNION BANK OF COLOMBO PLC,UBC.N0000,10.8,2289269,24724105.2
2019-1,2/8/2019,UNION BANK OF COLOMBO PLC,UBC.N0000,10.8,3320513,35861540.4
2019-1,2/11/2019,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,22,30000000,660000000
2019-1,2/11/2019,CARGILLS (CEYLON) PLC,CARG.N0000,200,145664,29132800
2019-1,2/11/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,156,792100,123567600
2019-1,2/11/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,156,500000,78000000
2019-1,2/11/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,156,535885,83598060
2019-1,2/11/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,156,1684342,262757352
2019-1,2/11/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,156,716272,111738432
2019-1,2/11/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,156,2731115,426053940
2019-1,2/11/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,156,1350313,210648828
2019-1,2/12/2019,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,22,8000000,176000000
2019-1,2/12/2019,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,98,500000,49000000
2019-1,2/12/2019,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,98,500000,49000000
2019-1,2/12/2019,CEYLINCO INSURANCE PLC,CINS.N0000,1920,81613,156696960
2019-1,2/12/2019,HEMAS HOLDINGS PLC,HHL.N0000,86.5,1000000,86500000
2019-1,2/12/2019,HEMAS HOLDINGS PLC,HHL.N0000,86.5,1000000,86500000
2019-1,2/12/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154,800000,123200000
2019-1,2/12/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154,200000,30800000
2019-1,2/13/2019,CEYLON TOBACCO COMPANY PLC,CTC.N0000,1420,50000,71000000
2019-1,2/13/2019,CEYLON TOBACCO COMPANY PLC,CTC.N0000,1420,38000,53960000
2019-1,2/13/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154,300000,46200000
2019-1,2/15/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,153,200000,30600000
2019-1,2/15/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154,500000,77000000
2019-1,2/15/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,153,500000,76500000
2019-1,2/15/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,153,500000,76500000
2019-1,2/15/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,153,300000,45900000
2019-1,2/15/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,153,250000,38250000
2019-1,2/15/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,153,1000000,153000000
2019-1,2/15/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,153,131500,20119500
2019-1,2/15/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,153,500000,76500000
2019-1,2/15/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,153,198414,30357342
2019-1,2/15/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,153,130800,20012400
2019-1,2/18/2019,HEMAS HOLDINGS PLC,HHL.N0000,85.1,873596,74343019.6
2019-1,2/18/2019,MELSTACORP PLC,MELS.N0000,45,2500000,112500000
2019-1,2/18/2019,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,20.5,2692482,55195881
2019-1,2/18/2019,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,23,3079571,70830133
2019-1,2/18/2019,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,23,1800000,41400000
2019-1,2/18/2019,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,23,1034400,23791200
2019-1,2/20/2019,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,93,500000,46500000
2019-1,2/20/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154,135000,20790000
2019-1,2/21/2019,CEYLON TOBACCO COMPANY PLC,CTC.N0000,1435,104657,150182795
2019-1,2/21/2019,SAMPATH BANK PLC,SAMP.N0000,243,500000,121500000
2019-1,2/21/2019,THE KINGSBURY PLC,SERV.N0000,20,25000000,500000000
2019-1,2/22/2019,L O L C HOLDINGS PLC,LOLC.N0000,90,3807493,342674370
2019-1,2/22/2019,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,23,919118,21139714
2019-1,2/25/2019,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,107.1,2419882,259169362.2
2019-1,2/25/2019,HEMAS HOLDINGS PLC,HHL.N0000,84,3875412,325534608
2019-1,2/26/2019,JOHN KEELLS HOTELS PLC,KHL.N0000,7.5,3000000,22500000
2019-1,2/26/2019,JOHN KEELLS HOTELS PLC,KHL.N0000,7.5,6400000,48000000
2019-1,2/26/2019,JOHN KEELLS HOTELS PLC,KHL.N0000,7.5,3800000,28500000
2019-1,2/27/2019,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,20,2181610,43632200
2019-1,2/28/2019,ACCESS ENGINEERING PLC,AEL.N0000,13.1,6960957,91188536.7
2019-1,2/28/2019,ACL CABLES PLC,ACL.N0000,32.5,1128964,36691330
2019-1,2/28/2019,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,85.5,332310,28412505
2019-1,2/28/2019,COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,85.5,335905,28719877.5
2019-1,2/28/2019,DIALOG AXIATA PLC,DIAL.N0000,9.1,14991350,136421285
2019-1,2/28/2019,EXPOLANKA HOLDINGS PLC,EXPO.N0000,4,7716250,30865000
2019-1,2/28/2019,HATTON NATIONAL BANK PLC,HNB.N0000,185.3,205893,38151972.9
2019-1,2/28/2019,JANASHAKTHI INSURANCE PLC,JINS.N0000,27.5,800000,22000000
2019-1,2/28/2019,JOHN KEELLS HOLDINGS PLC,JKH.N0000,150.1,792979,119026147.9
