Foreign Holding as at 31st December 2010,,,,,
YEAR,COMPANY ID,MAIN TYPE,SUB TYPE,COMPANY NAME,FOREIGN HOLDING (Volume)
2010,CHR,N,0000,CEYLON HOLIDAY RESORTS LIMITED,0
2010,SELI,N,0000,SELINSING PLC,123206
2010,VLL,N,0000,VIDULLANKA PLC,161909203
2010,CDB,N,0000,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,26000
2010,SAMP,N,0000,SAMPATH BANK PLC,5503586
2010,APLA,N,0000,ACL PLASTICS PLC,35800
2010,BLUE,N,0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,837948
2010,CPRT,N,0000,CEYLON PRINTERS PLC,7822
2010,CHL,X,0000,CEYLON HOSPITALS PLC,214428
2010,COMB,P,0004,COMMERCIAL BANK OF CEYLON PLC,0
2010,KHL,N,0000,JOHN KEELLS HOTELS PLC,20446073
2010,PEG,B,0000,PEGASUS HOTELS OF CEYLON PLC,0
2010,SHOT,N,0000,SERENDIB HOTELS PLC,6563
2010,SMOT,N,0000,SATHOSA MOTORS PLC,1816
2010,BOGA,N,0000,BOGALA GRAPHITE LANKA PLC,34892372
2010,LGL,N,0000,LAUGFS GAS PLC,3194000
2010,TESS,R,0000,TESS AGRO PLC,0
2010,KCAB,N,0000,KELANI CABLES PLC,77468
2010,PABC,N,0000,PAN ASIA BANKING CORPORATION PLC,16538116
2010,TSML,N,0000,TEA SMALLHOLDER FACTORIES PLC,19100
2010,UCAR,N,0000,UNION CHEMICALS LANKA PLC,225
2010,WATA,N,0000,WATAWALA  PLANTATIONS  PLC,12620930
2010,ACME,R,0000,ACME PRINTING & PACKAGING PLC,0
2010,CSF,R,0000,NATION LANKA FINANCE PLC,0
2010,HOPL,N,0000,HORANA PLANTATIONS PLC,1275100
2010,DIMO,R,0000,DIESEL & MOTOR ENGINEERING PLC,0
2010,ABAN,B,0000,ABANS ELECTRICALS PLC,0
2010,GREG,R,0000,LANKA CENTURY INVESTMENTS PLC,0
2010,NTB,R,0000,NATIONS TRUST BANK PLC,0
2010,SINS,B,0000,SINGER (SRI LANKA) PLC,0
2010,LION,R,0000,LION BREWERY (CEYLON) PLC,0
2010,SPEN,N,0000,AITKEN SPENCE PLC,158002238
2010,HLOG,R,0000,HABARANA LODGE LIMITED.,0
2010,MULL,N,0000,MULLER & PHIPPS (CEYLON) PLC,541400
2010,TKYO,B,0000,TOKYO CEMENT COMPANY (LANKA) PLC,0
2010,CABO,N,0000,CARGO BOAT DEVELOPMENT COMPANY PLC,179982
2010,CHOU,R,0000,CITY HOUSING & REAL ESTATE COMPANY PLC,1800
2010,INDO,N,0000,INDO-MALAY PLC,103744
2010,KDL,N,0000,KELSEY DEVELOPMENTS PLC,24450
2010,COMB,B,0000,COMMERCIAL BANK OF CEYLON PLC,0
2010,MLL,R,0002,MERCANTILE LEASING LIMITED,0
2010,NEST,N,0000,NESTLE LANKA PLC,1312686
2010,ABAN,R,0000,ABANS ELECTRICALS PLC,0
2010,PURE,B,0000,COCA-COLA BEVERAGES SRI LANKA LIMITED,0
2010,HAYL,N,0000,HAYLEYS PLC,1241645
2010,SAMP,R,0000,SAMPATH BANK PLC,0
2010,SMLL,N,0000,PEOPLE'S FINANCE PLC,58418
2010,ASCO,N,0000,ASCOT HOLDINGS PLC,69236
2010,CWM,N,0000,C. W. MACKIE PLC,18300
2010,HINT,N,0000,HOTEL INTERNATIONAL LIMITED,0
2010,MRH,N,0000,MAHAWELI REACH HOTELS PLC,7406573
2010,SHAW,N,0000,LEE HEDGES PLC,3340086
2010,UPIN,N,0000,UPALI INVESTMENT HOLDINGS LIMITED,0
2010,CTCE,N,0000,A I A INSURANCE LANKA PLC,15400
2010,EMER,N,0000,EASTERN MERCHANTS PLC,200
2010,LION,N,0000,LION BREWERY (CEYLON) PLC,6310869
2010,PTEX,N,0000,PUGODA TEXTILES LANKA LTD.,24051
2010,TILE,N,0000,LANKA TILES PLC,1005335
2010,CTLD,N,0000,C T LAND DEVELOPMENT PLC,860264
2010,KAHA,N,0000,KAHAWATTE  PLANTATIONS  PLC,14204
2010,SUN,N,0000,SUNSHINE HOLDINGS PLC,48679430
2010,ARPI,N,0000,ARPICO FINANCE COMPANY PLC,48843
2010,CHMX,N,0000,CHEMANEX PLC,31947
2010,CIT,R,0000,COLOMBO INVESTMENT TRUST PLC,0
2010,KURU,N,0000,KURUWITA TEXTILE MILLS PLC,1105900
2010,LAND,N,0000,LAND AND BUILDING PLC,0
2010,COCO,X,0000,RENUKA FOODS PLC,23561
2010,DOCK,B,0000,COLOMBO DOCKYARD PLC,0
2010,HAPU,N,0000,HAPUGASTENNE PLANTATIONS PLC,687100
2010,DIPD,N,0000,DIPPED PRODUCTS PLC,7614486
2010,NHL,B,0000,NAWALOKA HOSPITALS PLC,0
2010,HNB,R,0001,HATTON NATIONAL BANK PLC,0
2010,CIND,R,0000,CENTRAL INDUSTRIES PLC,0
