Foreign Holding as at 30th December 2018,,,,
COMPANY ID,MAIN TYPE,SUB TYPE,COMPANY NAME,FOREIGN HOLDING (Volume)
AAF,N,0000,ASIA ASSET FINANCE PLC,507264100
AAIC,N,0000,SOFTLOGIC LIFE INSURANCE PLC,173919389
ABAN,N,0000,ABANS ELECTRICALS PLC,199091
ABL,N,0000,AMANA BANK PLC,1045386404
ACAP,N,0000,ASIA CAPITAL PLC,122786358
ACL,N,0000,ACL CABLES PLC,9145844
ACME,N,0000,ACME PRINTING & PACKAGING PLC,11150577
AEL,N,0000,ACCESS ENGINEERING PLC,72433551
AFSL,N,0000,ABANS FINANCE PLC,19671
AGAL,N,0000,AGALAWATTE  PLANTATIONS  PLC,4129540
AGST,N,0000,AGSTAR PLC,8350
AHPL,N,0000,ASIAN HOTELS AND PROPERTIES PLC,3735286
AHUN,N,0000,AITKEN SPENCE HOTEL HOLDINGS PLC,1791654
AINS,N,0000,ARPICO INSURANCE PLC,1902338
AINV,N,0000,ADAM INVESTMENTS PLC,8357164
ALHP,N,0000,ANILANA HOTELS AND PROPERTIES PLC,785839388
ALLI,N,0000,ALLIANCE FINANCE COMPANY PLC,451988
ALUF,N,0000,ALUFAB PLC,168148
ALUM,N,0000,ALUMEX PLC,1429351
AMCL,N,0000,AMW CAPITAL LEASING AND FINANCE PLC,1999999
AMF,N,0000,ASSOCIATED MOTOR FINANCE COMPANY PLC,33
AMSL,N,0000,ASIRI SURGICAL HOSPITAL PLC,99355
APLA,N,0000,ACL PLASTICS PLC,109430
ARPI,N,0000,ARPICO FINANCE COMPANY PLC,2150
ASCO,N,0000,LANKA REALTY INVESTMENTS PLC ,33769602
ASHO,N,0000,LANKA ASHOK LEYLAND PLC,23003
ASIR,N,0000,ASIRI HOSPITAL HOLDINGS PLC,426523651
ASIY,N,0000,ASIA SIYAKA COMMODITIES LIMITED,2732825
ASPH,N,0000,INDUSTRIAL ASPHALTS (CEYLON) PLC,7836
ASPM,N,0000,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,1250000
ATL,N,0000,AMANA TAKAFUL PLC,279948
ATLL,N,0000,AMANA TAKAFUL LIFE PLC,2627
AUTO,N,0000,THE AUTODROME PLC,18285
BALA,N,0000,BALANGODA  PLANTATIONS  PLC,256902
BBH,N,0000,BROWNS BEACH HOTELS PLC,2905974
BERU,N,0000,BERUWALA RESORTS PLC,85109
BFL,N,0000,BAIRAHA FARMS PLC,655499
BFN,N,0000,ORIENT FINANCE PLC,68975
BIL,N,0000,BROWNS INVESTMENTS PLC,24718381
BLI,N,0000,BIMPUTH FINANCE PLC,3910
BLUE,X,0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,661943
BLUE,N,0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,28466235
BOGA,N,0000,BOGALA GRAPHITE LANKA PLC,85221504
BOPL,N,0000,BOGAWANTALAWA TEA ESTATES PLC,88347
BPPL,N,0000,B P P L HOLDINGS PLC ,3495633
BREW,N,0000,CEYLON BEVERAGE HOLDINGS PLC,3014634
BRR,N,0000,BANSEI ROYAL RESORTS HIKKADUWA PLC,27336269
BRWN,N,0000,BROWN & COMPANY PLC,2448848
BUKI,N,0000,BUKIT DARAH PLC,28844081
CABO,N,0000,CARGO BOAT DEVELOPMENT COMPANY PLC,123589
CALF,N,0000,DIALOG FINANCE PLC,35892
CARE,N,0000,PRINTCARE PLC,317732
CARG,N,0000,CARGILLS (CEYLON) PLC,17561103
CARS,N,0000,CARSON CUMBERBATCH PLC,43756685
CCS,N,0000,CEYLON COLD STORES PLC,8412572
CDB,N,0000,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,49060
CDB,X,0000,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,210887
CERA,N,0000,LANKA CERAMIC PLC,187
CFI,N,0000,COLOMBO FORT INVESTMENTS PLC,99254
CFIN,N,0000,CENTRAL FINANCE COMPANY PLC,30744472
CFLB,N,0000,THE COLOMBO FORT LAND AND BUILDING PLC,367907
CFT,N,0000,CEYLON AND FOREIGN TRADES PLC,264150
CFVF,N,0000,FIRST CAPITAL HOLDINGS PLC,285903
CHL,N,0000,CEYLON HOSPITALS PLC,424822
CHL,X,0000,CEYLON HOSPITALS PLC,934003
CHMX,N,0000,CHEMANEX PLC,177849
CHOT,N,0000,CEYLON HOTELS CORPORATION PLC,1068397
CHOU,R,0000,CITY HOUSING & REAL ESTATE COMPANY PLC,1800
CHOU,N,0000,CITY HOUSING & REAL ESTATE COMPANY PLC,42658
CIC,N,0000,C I C HOLDINGS PLC,477914
CIC,X,0000,C I C HOLDINGS PLC,1685332
