Foreign Holding as at 31st December 2021,,,,
COMPANY ID,MAIN TYPE,SUB TYPE,COMPANY NAME,FOREIGN HOLDING (Volume)
AAF,P,0000,ASIA ASSET FINANCE PLC,39687849
AAF,N,0000,ASIA ASSET FINANCE PLC,90795965
AAIC,N,0000,SOFTLOGIC LIFE INSURANCE PLC,146233977
ABAN,N,0000,ABANS ELECTRICALS PLC,85294
ABL,N,0000,AMANA BANK PLC,1018239176
ACAP,N,0000,ASIA CAPITAL PLC,118082928
ACL,N,0000,ACL CABLES PLC,1525073
ACME,N,0000,ACME PRINTING & PACKAGING PLC,11154478
AEL,N,0000,ACCESS ENGINEERING PLC,10440597
AFSL,N,0000,ABANS FINANCE PLC,4010
AGAL,N,0000,AGALAWATTE  PLANTATIONS  PLC,4165349
AGST,N,0000,AGSTAR PLC,121955
AHPL,N,0000,ASIAN HOTELS AND PROPERTIES PLC,3649667
AHUN,N,0000,AITKEN SPENCE HOTEL HOLDINGS PLC,1920463
AINS,N,0000,ARPICO INSURANCE PLC,1606633
AINV,N,0000,ADAM INVESTMENTS PLC,8357164
ALHP,N,0000,ANILANA HOTELS AND PROPERTIES PLC,1057376363
ALLI,N,0000,ALLIANCE FINANCE COMPANY PLC,250346
ALUF,N,0000,UNISYST ENGINEERING PLC,46066
ALUM,N,0000,ALUMEX PLC,1993140
AMCL,N,0000,AMW CAPITAL LEASING AND FINANCE PLC,1999999
AMF,N,0000,ASSOCIATED MOTOR FINANCE COMPANY PLC,134088
AMSL,N,0000,ASIRI SURGICAL HOSPITAL PLC,112549
APLA,N,0000,ACL PLASTICS PLC,41804
ASCO,N,0000,LANKA REALTY INVESTMENTS PLC ,127224743
ASHO,N,0000,LANKA ASHOK LEYLAND PLC,21509
ASIR,N,0000,ASIRI HOSPITAL HOLDINGS PLC,364985443
ASIY,N,0000,ASIA SIYAKA COMMODITIES LIMITED,642900
ASPH,N,0000,INDUSTRIAL ASPHALTS (CEYLON) PLC,21125300
ASPM,N,0000,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,1250000
ATL,N,0000,AMANA TAKAFUL PLC,48682
ATLL,N,0000,AMANA TAKAFUL LIFE PLC,28948
AUTO,N,0000,THE AUTODROME PLC,18210
BALA,N,0000,BALANGODA  PLANTATIONS  PLC,197223
BBH,N,0000,BROWNS BEACH HOTELS PLC,189498
BERU,N,0000,BERUWALA RESORTS PLC,365109
BFL,N,0000,BAIRAHA FARMS PLC,226024
BFN,N,0000,ORIENT FINANCE PLC,242330
BIL,N,0000,BROWNS INVESTMENTS PLC,28430865
BLI,N,0000,BIMPUTH FINANCE PLC,3910
BLUE,X,0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,681943
BLUE,N,0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,30837712
BOGA,N,0000,BOGALA GRAPHITE LANKA PLC,82121130
BOPL,N,0000,BOGAWANTALAWA TEA ESTATES PLC,84328
BPPL,N,0000,B P P L HOLDINGS PLC ,2372543
BREW,N,0000,CEYLON BEVERAGE HOLDINGS PLC,2993821
BRR,N,0000,BANSEI ROYAL RESORTS HIKKADUWA PLC,27389469
BRWN,N,0000,BROWN & COMPANY PLC,2308463
BUKI,N,0000,BUKIT DARAH PLC,28080868
CABO,N,0000,CARGO BOAT DEVELOPMENT COMPANY PLC,102467
CALF,N,0000,DIALOG FINANCE PLC,22667
CALT,N,0000,CAPITAL ALLIANCE LIMITED,167300
CARE,N,0000,PRINTCARE PLC,507952
CARG,N,0000,CARGILLS (CEYLON) PLC,14261907
CARS,N,0000,CARSON CUMBERBATCH PLC,43920297
CCS,N,0000,CEYLON COLD STORES PLC,7698874
CDB,N,0000,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,23425
CDB,X,0000,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,389380
CERA,N,0000,LANKA CERAMIC PLC,837
CFI,N,0000,COLOMBO FORT INVESTMENTS PLC,92598
CFIN,N,0000,CENTRAL FINANCE COMPANY PLC,33430063
CFLB,N,0000,THE COLOMBO FORT LAND AND BUILDING PLC,584000
CFT,N,0000,CEYLON AND FOREIGN TRADES PLC,295138
CFVF,N,0000,FIRST CAPITAL HOLDINGS PLC,139906
CHL,N,0000,CEYLON HOSPITALS PLC,121846
CHL,X,0000,CEYLON HOSPITALS PLC,194711
CHMX,N,0000,CHEMANEX PLC,91636
CHOT,N,0000,CEYLON HOTELS CORPORATION PLC,345130
CHOU,R,0000,CITY HOUSING & REAL ESTATE COMPANY PLC,1800
CHOU,N,0000,CITY HOUSING & REAL ESTATE COMPANY PLC,42658
CIC,N,0000,C I C HOLDINGS PLC,856298
CIC,X,0000,C I C HOLDINGS PLC,2687522
CIND,N,0000,CENTRAL INDUSTRIES PLC,76203
CINS,X,0000,CEYLINCO INSURANCE PLC,3387261
CINS,N,0000,CEYLINCO INSURANCE PLC,6412402
CINV,N,0000,CEYLON INVESTMENT PLC,1431931
CIT,N,0000,COLOMBO INVESTMENT TRUST PLC,66668
CITH,N,0000,HIKKADUWA BEACH RESORT PLC,84988
CITW,N,0000,WASKADUWA BEACH RESORT PLC,217412
CLC,N,0000,COMMERCIAL LEASING & FINANCE PLC,1146289
CLND,N,0000,COLOMBO LAND AND DEVELOPMENT COMPANY PLC,68946578
COCO,X,0000,RENUKA FOODS PLC,508181
COCO,N,0000,RENUKA FOODS PLC,28737140
COCR,N,0000,COMMERCIAL CREDIT AND FINANCE PLC,123200324
COLO,N,0000,C M HOLDINGS PLC,216785
COMB,X,0000,COMMERCIAL BANK OF CEYLON PLC,4144003
COMB,N,0000,COMMERCIAL BANK OF CEYLON PLC,230961965
COMD,N,0000,COMMERCIAL DEVELOPMENT COMPANY PLC,43575
CONN,N,0000,HAYLEYS LEISURE PLC,121223
COOP,N,0000,CO-OPERATIVE INSURANCE COMPANY LIMITED,374300
CPRT,N,0000,CEYLON PRINTERS PLC,121798
CRL,N,0000,SOFTLOGIC FINANCE PLC,28584
CSD,N,0000,SEYLAN DEVELOPMENTS PLC,3564214
CSF,N,0000,NATION LANKA FINANCE PLC,677829169
CTBL,N,0000,CEYLON TEA BROKERS PLC,355371
CTC,N,0000,CEYLON TOBACCO COMPANY PLC,7427085
CTEA,N,0000,DILMAH CEYLON TEA COMPANY PLC,175995
CTHR,N,0000,C T HOLDINGS PLC,23823480
CTLD,N,0000,C T LAND DEVELOPMENT PLC,1022424
CWL,N,0000,CHRISSWORLD PLC,119870
CWM,N,0000,C. W. MACKIE PLC,541773
DFCC,N,0000,DFCC BANK PLC,43496559
DIAL,N,0000,DIALOG AXIATA PLC,7433450735
DIMO,N,0000,DIESEL & MOTOR ENGINEERING PLC,76192
DIPD,N,0000,DIPPED PRODUCTS PLC,3373162
DIST,N,0000,DISTILLERIES COMPANY OF SRI LANKA PLC,6130972
DOCK,N,0000,COLOMBO DOCKYARD PLC,37587380
DPL,N,0000,DANKOTUWA PORCELAIN PLC,5552003
EAST,N,0000,EAST WEST PROPERTIES PLC,51432533
EBCR,N,0000,E B CREASY & COMPANY PLC,934604
ECL,N,0000,E - CHANNELLING PLC,82931
EDEN,N,0000,EDEN HOTEL LANKA PLC,1479349
ELPL,N,0000,ELPITIYA PLANTATIONS PLC,1062681
EMER,N,0000,EASTERN MERCHANTS PLC,12680320
EML,N,0000,E M L CONSULTANTS PLC,273975
ETWO,N,0000,EQUITY TWO PLC,120922
EXPO,N,0000,EXPOLANKA HOLDINGS PLC,1481806373
FCT,N,0000,FIRST CAPITAL TREASURIES PLC,29100
GEST,N,0000,GESTETNER OF CEYLON PLC,1261673
GHLL,N,0000,GALADARI HOTELS (LANKA) PLC,420028760
GLAS,N,0000,PGP GLASS CEYLON PLC,750806654
GOOD,N,0000,GOOD HOPE PLC,3680170
GRAN,N,0000,CEYLON GRAIN ELEVATORS PLC,36085018
GREG,N,0000,AMBEON HOLDINGS PLC,2927330
GSF,N,0000,PRIME FINANCE PLC,9703
GUAR,N,0000,CEYLON GUARDIAN INVESTMENT TRUST PLC,6444332
HAPU,N,0000,HAPUGASTENNE PLANTATIONS PLC,1291055
HARI,N,0000,HARISCHANDRA MILLS PLC,4777
HASU,N,0000,HNB ASSURANCE PLC,1174651
HAYC,N,0000,HAYCARB PLC,10272247
HAYL,N,0000,HAYLEYS PLC,16741228
HBS,N,0000,hSENID BUSINESS SOLUTIONS LIMITED,26966100
HDFC,N,0000,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,9364697
HEXP,N,0000,HAYLEYS FIBRE PLC,131641
HHL,N,0000,HEMAS HOLDINGS PLC,80151519
HNB,X,0000,HATTON NATIONAL BANK PLC,1327583
HNB,N,0000,HATTON NATIONAL BANK PLC,60868278
HNBF,X,0000,HNB FINANCE PLC,31087
HNBF,N,0000,HNB FINANCE PLC,141041
HOPL,N,0000,HORANA PLANTATIONS PLC,197300
HPFL,N,0000,LOTUS HYDRO POWER PLC,143897
HPL,N,0000,HATTON PLANTATIONS PLC,1964666
HPWR,N,0000,RESUS ENERGY PLC,349046
HSIG,N,0000,HOTEL SIGIRIYA PLC,162421
HUNA,N,0000,HUNAS FALLS HOTELS PLC,3551
HUNT,N,0000,HUNTER & COMPANY PLC,4496968
HVA,N,0000,HVA FOODS PLC,321876
IDL,N,0000,SERENDIB ENGINEERING GROUP PLC,28646917
INDO,N,0000,INDO-MALAY PLC,4207286
JAT,N,0000,JAT HOLDINGS PLC,6868064
JETS,N,0000,JETWING SYMPHONY PLC,5898751
JINS,N,0000,JANASHAKTHI INSURANCE PLC,930738
JKH,N,0000,JOHN KEELLS HOLDINGS PLC,432012728
JKL,N,0000,JOHN KEELLS PLC,275497
KAHA,N,0000,KAHAWATTE  PLANTATIONS  PLC,80486
KAPI,N,0000,MTD WALKERS PLC,153482396
KCAB,N,0000,KELANI CABLES PLC,50500
KDL,N,0000,KELSEY DEVELOPMENTS PLC,405370
KFP,N,0000,KEELLS FOOD PRODUCTS PLC,230981
KGAL,N,0000,KEGALLE  PLANTATIONS  PLC,543246
KHC,N,0000,THE KANDY HOTELS COMPANY (1938) PLC,69492219
KHL,N,0000,JOHN KEELLS HOTELS PLC,33208949
KOTA,N,0000,KOTAGALA PLANTATIONS PLC,1801504
KVAL,N,0000,KELANI VALLEY PLANTATIONS PLC,1520968
KZOO,N,0000,SHAW WALLACE INVESTMENTS PLC,158285
LALU,N,0000,LANKA ALUMINIUM INDUSTRIES PLC,34531435
LAMB,N,0000,KOTMALE HOLDINGS PLC,2094
LCBF,N,0000,LANKA CREDIT AND BUSINESS FINANCE LIMITED,511596
LCEM,N,0000,LANKA CEMENT PLC,458255
LCEY,N,0000,LANKEM CEYLON PLC,78683
LDEV,N,0000,LANKEM DEVELOPMENTS PLC,4555950
LFIN,N,0000,LB FINANCE PLC,8422918
LGIL,N,0000,LOLC GENERAL INSURANCE LTD,315303100
LGL,N,0000,LAUGFS GAS PLC,135989
LGL,X,0000,LAUGFS GAS PLC,233708
LHCL,N,0000,THE LANKA HOSPITALS CORPORATION PLC,64637395
LHL,N,0000,THE  LIGHTHOUSE  HOTEL  PLC,114927
LIOC,N,0000,LANKA IOC PLC,403336441
LION,N,0000,LION BREWERY (CEYLON) PLC,29220009
LITE,N,0000,LAXAPANA BATTERIES PLC,77512
LLMP,N,0000,LUCKY LANKA MILK PROCESSING COMPANY PLC,17300
LLMP,X,0000,LUCKY LANKA MILK PROCESSING COMPANY PLC,1402111
LLUB,N,0000,CHEVRON LUBRICANTS  LANKA  PLC,23613318
LMF,N,0000,LANKA MILK FOODS (CWE) PLC,944901
LOFC,N,0000,LOLC FINANCE PLC,2616837709
LOLC,N,0000,L O L C HOLDINGS PLC,1824976
LPL,N,0000,LAUGFS POWER PLC,231693
LPL,X,0000,LAUGFS POWER PLC,238102
LPRT,N,0000,LAKE HOUSE PRINTERS & PUBLISHERS PLC,7429
LVEF,N,0000,L V L ENERGY FUND PLC,7925346
LVEN,N,0000,LANKA VENTURES PLC,1233003
LWL,N,0000,LANKA WALLTILE PLC,4402401
MADU,N,0000,MADULSIMA  PLANTATIONS  PLC,479472
MAL,X,0000,MALWATTE VALLEY PLANTATION PLC,10691
MAL,N,0000,MALWATTE VALLEY PLANTATION PLC,911021
MARA,N,0000,MARAWILA  RESORTS  PLC,559544
MASK,N,0000,MASKELIYA PLANTATIONS PLC,6990
MBSL,N,0000,MERCHANT BANK OF SRI LANKA & FINANCE PLC,566255
MCPL,N,0000,MAHAWELI COCONUT PLANTATIONS PLC,38700
MDL,N,0000,MYLAND DEVELOPMENTS LIMITED,20000
MEL,N,0000,MACKWOODS ENERGY PLC,2232524
MELS,N,0000,MELSTACORP PLC,210210908
MFL,N,0000, MULTI FINANCE  PLC,7600
MGT,N,0000,HAYLEYS FABRIC PLC,1695225
MHDL,N,0000,MILLENNIUM HOUSING DEVELOPERS PLC,38363353
MRH,N,0000,MAHAWELI REACH HOTELS PLC,33296712
MSL,N,0000,MERCANTILE SHIPPING COMPANY PLC,1393802
MULL,N,0000,MULLER & PHIPPS (CEYLON) PLC,669800
NAMU,N,0000,NAMUNUKULA PLANTATIONS PLC,769952
NDB,N,0000,NATIONAL DEVELOPMENT BANK PLC,63417938
NEH,N,0000,THE NUWARA ELIYA HOTELS COMPANY PLC,28464
NEST,N,0000,NESTLE LANKA PLC,50536956
NHL,N,0000,NAWALOKA HOSPITALS PLC,2801432
NIFL,N,0000,L O L C DEVELOPMENT FINANCE PLC,3957
NTB,X,0000,NATIONS TRUST BANK PLC,5808515
NTB,N,0000,NATIONS TRUST BANK PLC,39942108
ODEL,N,0000,ODEL PLC,148582
OFEQ,N,0000,OFFICE EQUIPMENT PLC,111131
ONAL,N,0000,ON'ALLY HOLDINGS PLC,418911
OSEA,N,0000,OVERSEAS REALTY (CEYLON) PLC,1099718986
PABC,N,0000,PAN ASIA BANKING CORPORATION PLC,78013883
PACK,N,0000,EX-PACK CORRUGATED CARTONS LIMITED,312112
PALM,N,0000,PALM GARDEN HOTELS PLC,24143
PAP,N,0000,PANASIAN POWER PLC,3030604
PARA,N,0000,PARAGON CEYLON PLC,138080
PARQ,N,0000,SWISSTEK (CEYLON) PLC,508854
PCHH,N,0000,ADAM CAPITAL PLC,485250
PDL,N,0000,PROPERTY DEVELOPMENT PLC,18219
PEG,N,0000,PEGASUS HOTELS OF CEYLON PLC,83879
PHAR,N,0000,COLOMBO CITY HOLDINGS PLC,26865
PINS,N,0000,PEOPLE'S INSURANCE PLC,159059
PLC,N,0000,PEOPLE'S LEASING & FINANCE PLC,10730447
PLR,N,0000,PRIME LANDS RESIDENCIES PLC,377630
PMB,N,0000,PEOPLE`S MERCHANT FINANCE  PLC,397918
RAL,N,0000,RENUKA AGRI FOODS PLC,16644109
RCH,N,0000,RENUKA HOTELS PLC,213439
RCL,N,0000,ROYAL CERAMICS LANKA PLC,13813559
REEF,N,0000,CITRUS LEISURE PLC,384953
REG,N,0000,REGNIS (LANKA) PLC,851403
RENU,N,0000,RENUKA CITY HOTELS PLC.,67676
REXP,N,0000,RICHARD PIERIS EXPORTS PLC,163056
RFL,N,0000,RAMBODA FALLS PLC,330060
RGEM,N,0000,RADIANT GEMS INTERNATIONAL PLC,3703
RHL,X,0000,RENUKA HOLDINGS PLC,1743109
RHL,N,0000,RENUKA HOLDINGS PLC,14066436
RHTL,N,0000,THE FORTRESS RESORTS PLC,284856
RICH,N,0000,RICHARD PIERIS AND COMPANY PLC,1538850193
RIL,N,0000,R I L PROPERTY PLC,241937142
RPBH,N,0000,ROYAL PALMS BEACH HOTELS PLC,2675425
RWSL,N,0000,RAIGAM WAYAMBA SALTERNS PLC,4833776
SAMP,N,0000,SAMPATH BANK PLC,76588900
SCAP,N,0000,SOFTLOGIC CAPITAL PLC,1428461
SDB,N,0000,SANASA DEVELOPMENT BANK PLC,37935260
SDF,N,0000,SARVODAYA DEVELOPMENT FINANCE LIMITED,13574923
SELI,N,0000,SELINSING PLC,5433645
SEMB,X,0000,S M B LEASING PLC,183236785
SEMB,N,0000,S M B LEASING PLC,653428874
SERV,N,0000,THE KINGSBURY PLC,530740
SEYB,N,0000,SEYLAN BANK PLC,2904673
SEYB,X,0000,SEYLAN BANK PLC,13287220
SFCL,N,0000,SENKADAGALA FINANCE COMPANY PLC,7088562
SFIN,N,0000,SINGER FINANCE LANKA PLC,1398124
SFL,P,0000,SINHAPUTHRA FINANCE PLC,5000
SFL,N,0000,SINHAPUTHRA FINANCE PLC,1129340
SFS,N,0000,SWARNAMAHAL FINANCIAL SERVICES PLC,5793841
SHAL,N,0000,SHALIMAR (MALAY) PLC.,4491864
SHAW,N,0000,LEE HEDGES PLC,13680340
SHL,N,0000,SOFTLOGIC HOLDINGS PLC,382505959
SHOT,X,0000,SERENDIB HOTELS PLC,160474
SHOT,N,0000,SERENDIB HOTELS PLC,3958348
SIGV,N,0000,SIGIRIYA VILLAGE HOTELS PLC,35063
SIL,N,0000,SAMSON INTERNATIONAL PLC,913
SING,N,0000,STANDARD CAPITAL PLC,3844997
SINH,N,0000,SINGHE HOSPITALS PLC,591200
SINI,N,0000,SINGER INDUSTRIES (CEYLON) PLC,23671
SINS,N,0000,SINGER (SRI LANKA) PLC,179603
SIRA,N,0000,SIERRA CABLES PLC,4061000
SLND,N,0000,SERENDIB LAND PLC,57
SLTL,N,0000,SRI LANKA TELECOM PLC,812078061
SMOT,N,0000,SATHOSA MOTORS PLC,3303
SOY,N,0000,CONVENIENCE FOODS LANKA PLC,9542
SPEN,N,0000,AITKEN SPENCE PLC,86080813
STAF,N,0000,DOLPHIN HOTELS PLC,115900
SUN,N,0000,SUNSHINE HOLDINGS PLC,59487685
SWAD,N,0000,SWADESHI INDUSTRIAL WORKS  PLC,1
TAFL,N,0000,THREE ACRE FARMS PLC,5433204
TAJ,N,0000,TAL LANKA HOTELS PLC,116273177
TANG,N,0000,TANGERINE BEACH HOTELS PLC,95296
TAP,N,0000,AMBEON CAPITAL PLC,400971
TESS,X,0000,TESS AGRO PLC,945163
TESS,N,0000,TESS AGRO PLC,7666568
TILE,N,0000,LANKA TILES PLC,2978419
TJL,N,0000,TEEJAY LANKA PLC,303136015
TKYO,X,0000,TOKYO CEMENT COMPANY (LANKA) PLC,24373968
TKYO,N,0000,TOKYO CEMENT COMPANY (LANKA) PLC,52259708
TPL,N,0000,TALAWAKELLE TEA ESTATES PLC,64382
TRAN,N,0000,TRANS ASIA HOTELS PLC,90383
TSML,N,0000,TEA SMALLHOLDER FACTORIES PLC,30702
TYRE,N,0000,KELANI TYRES PLC,871042
UAL,N,0000,UNION ASSURANCE PLC,654795
