Date,Automobiles & Components,Banks,Capital Goods,Commercial & Professional Services,Consumer Durables & Apparel,Consumer Services,Diversified Financials,Energy,Food & Staples Retailing,"Food, Beverage & Tobacco",Health Care Equipment & Services,Household & Personal Products,Insurance,Materials,"Pharmaceuticals, Biotechnology & Life Sciences",Real Estate,Retailing,Technology Hardware & Equipment,Software & Services,Telecommunication Services,Transportation,Utilities
2016-04-05 00:00:00,2.96,3.21,2.05,2.57,0.3,0.63,2.55,4.21,3.51,2.59,1.95,0.01,4.36,5.85,1.53,1.27,3.85,0,,1.71,0,6.78
2016-04-06 00:00:00,2.94,3.21,2.05,2.57,0.3,0.63,2.53,4.23,3.44,2.59,1.97,0.01,4.39,5.86,1.53,1.27,3.83,0,,1.71,0,6.82
2016-04-07 00:00:00,2.72,3.16,2.02,2.58,0.3,0.62,2.47,4.12,3.42,2.59,1.94,0.01,4.37,5.83,1.53,1.26,3.84,0,,1.69,0,6.71
2016-04-08 00:00:00,2.72,3.13,2.01,2.47,0.29,0.62,2.45,4.07,3.42,2.56,1.93,0.01,4.32,5.78,1.53,1.25,3.84,0,,1.68,0,6.59
2016-04-11 00:00:00,2.72,3.12,2.02,2.47,0.3,0.62,2.46,4.05,3.42,2.56,1.94,0.01,4.34,5.76,1.53,1.24,3.85,0,,1.68,0,6.64
2016-04-12 00:00:00,2.72,3.09,1.97,2.46,0.29,0.61,2.38,4,3.38,2.56,1.88,0.01,4.21,5.71,1.53,1.22,3.79,0,,1.7,0,6.63
2016-04-15 00:00:00,2.72,3.08,1.96,2.46,0.29,0.61,2.31,3.95,3.36,2.53,1.88,0.01,4.22,5.67,1.53,1.2,3.81,0,,1.69,0,6.58
2016-04-18 00:00:00,2.77,3.09,1.97,2.46,0.29,0.61,2.36,4,3.4,2.53,1.88,0.01,4.23,5.67,1.53,1.19,3.77,0,,1.68,0,6.57
2016-04-19 00:00:00,2.82,3.09,1.98,2.46,0.29,0.61,2.34,4.03,3.4,2.52,1.84,0.01,4.24,5.68,1.53,1.19,3.79,0,,1.68,0,6.55
2016-04-20 00:00:00,2.82,3.07,1.95,2.46,0.29,0.61,2.33,3.99,3.4,2.51,1.79,0.01,4.24,5.66,1.53,1.19,3.81,0,,1.68,0,6.47
2016-04-22 00:00:00,2.82,3.07,1.95,2.7,0.29,0.61,2.34,3.96,3.4,2.51,1.8,0.01,4.25,5.68,1.49,1.19,3.81,0,,1.67,0,6.53
2016-04-25 00:00:00,2.89,3.1,1.98,2.7,0.29,0.61,2.36,4.01,3.34,2.52,1.8,0.01,4.3,5.7,1.49,1.19,3.8,0,,1.68,0,6.62
2016-04-26 00:00:00,2.74,3.09,1.96,2.69,0.29,0.61,2.35,4,3.34,2.52,1.74,0.01,4.28,5.52,1.49,1.22,3.81,0,,1.69,0,6.59
2016-04-27 00:00:00,2.69,3.08,1.96,2.69,0.29,0.61,2.33,3.96,3.34,2.51,1.71,0.01,4.27,5.48,1.49,1.23,3.81,0,,1.68,0,6.55
2016-04-28 00:00:00,2.69,3.1,1.96,2.69,0.29,0.61,2.33,3.89,3.36,2.49,1.69,0.01,4.27,5.48,1.49,1.21,3.83,0,,1.69,0,6.58
2016-04-29 00:00:00,2.72,3.06,1.93,2.69,0.28,0.6,2.29,3.83,3.35,2.47,1.69,0.01,4.21,5.43,1.49,1.21,3.8,0,,1.66,0,6.46
2016-05-03 00:00:00,2.16,3.56,3.42,2.21,2.28,1.28,2.37,3.9,1.96,2.17,2.14,0,2.57,4.36,1.49,3.47,3.89,0,,1.67,0,7.76
