Date,Automobiles & Components,Banks,Capital Goods,Commercial & Professional Services,Consumer Durables & Apparel,Consumer Services,Diversified Financials,Energy,Food & Staples Retailing,"Food, Beverage & Tobacco",Health Care Equipment & Services,Household & Personal Products,Insurance,Materials,"Pharmaceuticals, Biotechnology & Life Sciences",Real Estate,Retailing,Technology Hardware & Equipment,Software & Services,Telecommunication Services,Transportation,Utilities
2016-04-05 00:00:00,5025000000,349432058900,433869269671,4274713119,39388220971,320538945617,231964544497,31048590736,56265391565,664740765169,54721087676,1763991000,67503992571,85417453875,1974818600,50139581732,48711835454,34340000,,155172887572,240970653,14115610559
2016-04-06 00:00:00,5065200000,350310640574,434199222782,4274713119,39125913755,321491666606,233214145865,30894844140,57371411165,664793927363,54213991385,1763991000,67140092423,85179675602,1974818600,50335894033,48963669045,34340000,,154538995731,240970653,14019077557
2016-04-07 00:00:00,5459160000,355379027598,440796319985,4266910935,39333973393,324791545069,238944277275,31715056476,57692160090,666471480263,55214164750,1763991000,67477042443,85579930232,1974818600,50655899461,48895278269,34340000,,156977747572,240970653,14268747422
2016-04-08 00:00:00,5467200000,358384671876,442945697406,4453065066,39707322873,327050109526,240956844409,32127275593,57792960090,672519220165,55382251093,1763991000,68122714149,86427402271,1974818600,51056715258,48886736486,34340000,,157431153412,240970653,14524841939
2016-04-11 00:00:00,5467200000,359594779793,441886678386,4453065066,39619610206,326369046231,239960638751,32255282512,57725720890,673558890302,54991865802,1763991000,67951917980,86613051464,1974818600,51566765827,48720785568,34340000,,157884559253,240970653,14400126560
2016-04-12 00:00:00,5467200000,364060028468,452716192591,4469623845,40189392885,328959387619,248437464049,32675261961,58467818890,673752275569,56699892503,1763991000,70004170342,87465570211,1974818600,52439458396,49544312606,34340000,,156167751412,240970653,14425654694
2016-04-15 00:00:00,5467200000,364679795554,453674439289,4469623845,40795595455,329272256948,255646543245,33075494848,58719858090,681487965061,56824054358,1763991000,69852808518,88041837579,1974818600,53338506051,49260656518,34340000,,157070181412,240970653,14542435220
2016-04-18 00:00:00,5362680000,363211421338,451584338002,4467703301,40254581834,328879056222,250814212623,32683022293,58056199290,682661799722,56940986889,1763991000,69577390219,87993632547,1974818600,53715789166,49720636243,34340000,,157704073253,240970653,14570015667
2016-04-19 00:00:00,5282280000,364026117065,451039808229,4467463233,40192135636,328865072758,251930807285,32391049763,58070179690,683387221792,58169384557,1763991000,69420294231,87889429648,1974818600,53624822344,49456176062,34340000,,157704073253,240970653,14602742100
2016-04-20 00:00:00,5274240000,365327478370,456227075049,4467463233,40496353300,330192540359,253693073733,32763775756,58089799290,686114100829,59565627825,1763991000,69488453467,88258982739,1974818600,53645508300,49240046029,34340000,,157704073253,240970653,14792320314
