Date,Automobiles & Components,Banks,Capital Goods,Commercial & Professional Services,Consumer Durables & Apparel,Consumer Services,Diversified Financials,Energy,Food & Staples Retailing,"Food, Beverage & Tobacco",Health Care Equipment & Services,Household & Personal Products,Insurance,Materials,"Pharmaceuticals, Biotechnology & Life Sciences",Real Estate,Retailing,Technology Hardware & Equipment,Software & Services,Telecommunication Services,Transportation,Utilities
2016-04-05 00:00:00,7.34,1.09,1.29,3.01,2.38,4.3,1.39,1.21,2.98,3.21,2.73,12.24,1.61,2.4,1.54,0.91,1.2,0.04,,1.36,5.88,1.94
2016-04-06 00:00:00,7.39,1.1,1.29,3.01,2.36,4.31,1.4,1.2,3.04,3.21,2.7,12.24,1.6,2.39,1.54,0.91,1.21,0.04,,1.35,5.88,1.92
2016-04-07 00:00:00,7.97,1.11,1.31,3,2.37,4.35,1.43,1.24,3.06,3.22,2.75,12.24,1.61,2.41,1.54,0.92,1.21,0.04,,1.37,5.88,1.96
2016-04-08 00:00:00,7.98,1.12,1.31,3.13,2.4,4.38,1.44,1.25,3.06,3.25,2.76,12.24,1.63,2.43,1.54,0.92,1.21,0.04,,1.38,5.88,1.99
2016-04-11 00:00:00,7.98,1.12,1.31,3.13,2.39,4.37,1.44,1.26,3.06,3.25,2.74,12.24,1.62,2.43,1.54,0.93,1.2,0.04,,1.38,5.88,1.97
2016-04-12 00:00:00,7.98,1.14,1.34,3.15,2.42,4.41,1.49,1.27,3.1,3.26,2.82,12.24,1.67,2.46,1.54,0.95,1.22,0.04,,1.37,5.88,1.98
2016-04-15 00:00:00,7.98,1.14,1.35,3.15,2.46,4.41,1.53,1.29,3.11,3.29,2.83,12.24,1.67,2.47,1.54,0.97,1.22,0.04,,1.37,5.88,1.99
2016-04-18 00:00:00,7.83,1.14,1.34,3.15,2.43,4.41,1.5,1.27,3.08,3.3,2.84,12.24,1.66,2.47,1.54,0.97,1.23,0.04,,1.38,5.88,2
2016-04-19 00:00:00,7.71,1.14,1.34,3.14,2.42,4.41,1.51,1.26,3.08,3.3,2.9,12.24,1.66,2.47,1.54,0.97,1.22,0.04,,1.38,5.88,2
2016-04-20 00:00:00,7.7,1.14,1.35,3.14,2.44,4.43,1.52,1.28,3.08,3.32,2.97,12.24,1.66,2.48,1.54,0.97,1.22,0.04,,1.38,5.88,2.03
