Date,Automobiles & Components,Banks,Capital Goods,Commercial & Professional Services,Consumer Durables & Apparel,Consumer Services,Diversified Financials,Energy,Food & Staples Retailing,"Food, Beverage & Tobacco",Health Care Equipment & Services,Household & Personal Products,Insurance,Materials,"Pharmaceuticals, Biotechnology & Life Sciences",Real Estate,Retailing,Technology Hardware & Equipment,Software & Services,Telecommunication Services,Transportation,Utilities
2016-04-05 00:00:00,30.15,8.33,13.87,22.06,,125.25,11.05,8.96,14.21,22.07,30.76,232.82,10.28,12.48,13.24,9.58,12.13,,,15.1,,10
2016-04-06 00:00:00,30.39,8.35,13.88,22.06,,125.63,11.11,8.92,14.49,22.08,30.47,232.82,10.23,12.44,13.24,9.61,12.19,,,15.04,,9.93
2016-04-07 00:00:00,32.75,8.48,14.09,22.02,,126.91,11.38,9.15,14.57,22.13,31.04,232.82,10.28,12.5,13.24,9.68,12.17,,,15.27,,10.11
2016-04-08 00:00:00,32.8,8.55,14.16,22.98,,127.8,11.48,9.27,14.6,22.33,31.13,232.82,10.38,12.63,13.24,9.75,12.17,,,15.32,,10.29
2016-04-11 00:00:00,32.8,8.58,14.12,22.98,,127.53,11.43,9.31,14.58,22.37,30.91,232.82,10.35,12.65,13.24,9.85,12.13,,,15.36,,10.2
2016-04-12 00:00:00,32.8,8.68,14.47,23.06,,128.54,11.84,9.43,14.77,22.37,31.87,232.82,10.66,12.78,13.24,10.02,12.33,,,15.19,,10.22
2016-04-15 00:00:00,32.8,8.7,14.5,23.06,,128.67,12.18,9.55,14.83,22.63,31.94,232.82,10.64,12.86,13.24,10.19,12.26,,,15.28,,10.3
2016-04-18 00:00:00,32.17,8.66,14.43,23.05,,128.51,11.95,9.43,14.66,22.67,32.01,232.82,10.6,12.86,13.24,10.26,12.38,,,15.34,,10.32
2016-04-19 00:00:00,31.69,8.68,14.41,23.05,,128.51,12,9.35,14.67,22.69,32.7,232.82,10.57,12.84,13.24,10.24,12.31,,,15.34,,10.34
2016-04-20 00:00:00,31.64,8.71,14.58,23.05,,129.03,12.09,9.46,14.67,22.78,33.48,232.82,10.59,12.89,13.24,10.25,12.26,,,15.34,,10.48
2016-04-22 00:00:00,31.64,8.72,14.62,21.01,,128.99,12.01,9.53,14.67,22.79,33.41,232.82,10.56,12.85,13.63,10.22,12.24,,,15.42,,10.37
2016-04-25 00:00:00,30.87,8.64,14.38,21.01,,128.94,11.91,9.39,14.95,22.69,33.38,232.82,10.45,12.79,13.63,10.22,12.29,,,15.33,,10.23
2016-04-26 00:00:00,32.56,8.67,14.51,21.07,,129.15,11.98,9.42,14.94,22.71,34.58,232.82,10.48,13.22,13.63,9.99,12.24,,,15.26,,10.29
2016-04-27 00:00:00,33.19,8.69,14.51,21.07,,129.94,12.1,9.52,14.95,22.84,35.15,232.82,10.51,13.31,13.63,9.95,12.26,,,15.3,,10.34
2016-04-28 00:00:00,33.19,8.65,14.52,21.07,,129.89,12.07,9.68,14.84,22.99,35.56,232.82,10.51,13.3,13.63,10.05,12.2,,,15.26,,10.29
2016-04-29 00:00:00,32.8,8.75,14.73,21.11,,130.65,12.29,9.85,14.9,23.22,35.6,232.82,10.65,13.43,13.63,10.1,12.28,,,15.48,,10.49
The CSE has changed the methodology of  calculating PER from Annual Earnings to Rolling Four Quarters with effect from 03rd May 2016.,,,,,,,,,,,,,,,,,,,,,,
2016-05-03 00:00:00,7.15,9.47,11.13,11.26,672.44,57.71,8.48,36.24,16.07,21.39,17.56,44.59,8.02,10.94,7.29,10.04,8.88,,,17.7,,9.38
2016-05-04 00:00:00,7.48,9.41,11.07,11.26,673.37,57.54,8.58,36.28,16.06,21.32,17.55,44.59,8.02,10.91,7.29,9.88,8.84,,,17.68,,9.35
2016-05-05 00:00:00,7.5,9.41,11.05,11.46,665.58,57.64,8.61,36.41,16.06,21.41,17.42,44.59,8,10.92,7.29,9.9,8.76,,,17.86,,9.36
2016-05-06 00:00:00,7.5,9.41,11.08,11.42,672.93,57.99,8.6,36.44,16.06,21.35,17.57,44.59,8.01,10.94,7.29,9.82,8.84,,,18.34,,9.4
2016-05-09 00:00:00,7.19,9.38,11.1,11.39,672.34,57.66,8.59,36.86,15.84,21.44,17.61,44.59,8.04,10.95,7.29,9.75,8.93,,,18.34,,9.4
2016-05-10 00:00:00,7.5,9.45,11.27,11.97,671.92,57.98,8.62,37.03,15.94,21.45,18.08,44.59,8.12,11.03,7.29,9.85,8.94,,,18.46,,9.38
2016-05-11 00:00:00,7.2,9.35,11.38,11.97,678.68,57.84,8.68,36.78,16.13,21.58,18.45,44.59,8.07,11.04,7.29,9.98,8.98,,,18.6,,9.54
2016-05-12 00:00:00,7.21,9.35,11.4,11.95,681.24,57.61,8.61,36.67,16.08,21.72,18.39,44.59,8.1,10.98,7.29,9.99,8.98,,,18.25,,9.49
2016-05-13 00:00:00,7.21,9.35,11.43,11.95,683.45,57.91,8.64,36.26,16.09,21.77,18.75,44.59,8.13,11.01,7.29,10.24,9.02,,,18.34,,9.54
2016-05-16 00:00:00,7.21,9.34,11.46,11.95,680.56,58.52,8.69,36.98,16.02,21.95,18.65,44.59,8.16,10.92,7.29,10.34,9.11,,,18.37,,9.49
2016-05-17 00:00:00,7.21,9.25,11.36,11.62,670.99,58.48,8.6,36.03,15.84,21.78,18.67,44.59,8.15,10.89,7.29,10.3,9.12,,,18.74,,9.45
2016-05-18 00:00:00,7.21,9.27,11.28,11.62,687.07,58.69,8.62,35.75,15.84,21.87,18.97,44.59,8.18,10.95,7.3,10.25,9.25,,,18.56,,9.45
2016-05-19 00:00:00,7.25,9.23,11.2,11.53,684.53,58.44,8.51,35.63,15.78,21.84,18.66,44.59,8.02,10.91,7.3,10.35,9.22,,,18.56,,9.55
2016-05-20 00:00:00,7.21,9.23,11.18,11.54,677.33,58.4,8.54,35.26,15.77,21.64,18.62,44.59,7.98,10.86,7.3,10.3,9.21,,,18.86,,9.54
2016-05-24 00:00:00,7.09,9.2,11.07,11.54,669.56,57.87,8.4,34.84,15.72,21.51,18.29,44.59,7.87,10.82,7.3,10.25,9.15,,,18.3,,9.49
2016-05-25 00:00:00,7.19,9.2,11.11,11.54,671.66,57.96,8.39,35.3,15.83,21.54,18.27,44.59,7.92,10.82,7.3,10.28,9.14,,,18.39,,9.44
2016-05-26 00:00:00,7.09,9.19,11.01,11.5,672.42,57.93,8.37,34.85,15.54,21.62,18.34,44.59,7.86,10.83,7.3,10.18,9.12,,,18.33,,9.42
2016-05-27 00:00:00,6.89,9.16,11.01,11.5,671.73,57.9,8.45,34.56,15.54,21.71,18.23,44.59,7.8,10.79,7.3,10.15,9.09,,,18.19,,9.38
2016-05-30 00:00:00,6.79,9.12,10.99,11.5,665.78,57.86,8.38,34.39,15.54,21.73,18.16,44.59,7.81,10.7,7.3,10.02,9.06,,,18.06,,9.39
2016-05-31 00:00:00,6.69,9.08,10.95,11.41,661.35,57.81,8.38,34.23,15.53,21.87,18.12,44.59,7.8,10.69,7.3,9.91,9.04,,,18.1,,9.34
2016-06-01 00:00:00,6.88,9.07,10.98,11.37,669.14,57.95,8.24,34.28,15.77,21.87,18.07,44.59,7.77,10.74,7.3,9.91,9.01,,,17.61,,9.38
2016-06-02 00:00:00,6.8,9.06,11,11.34,672.71,57.81,8.2,33.89,15.85,22.24,17.88,44.59,7.79,10.69,7.3,9.86,9.02,,,17.79,,9.38
2016-06-03 00:00:00,6.7,9.07,10.97,11.32,681.31,57.67,8.26,33.72,15.75,22.29,17.29,44.59,7.75,10.61,7.3,9.89,9.07,,,17.42,,9.35
2016-06-06 00:00:00,6.7,9.08,10.94,11.32,691.01,57.54,8.25,33.92,15.75,22.2,17.42,44.59,7.8,10.64,7.3,9.91,9.35,,,17.7,,9.41
2016-06-07 00:00:00,6.79,9.07,10.98,11.33,693.63,57.62,8.25,33.82,15.75,22.11,17.47,44.59,7.8,10.6,7.3,9.9,9.34,,,17.64,,9.4
2016-06-08 00:00:00,6.79,9.07,10.97,11.6,706.01,57.56,8.24,34.28,15.75,22.09,17.55,44.59,7.79,10.64,7.3,9.91,9.35,,,17.7,,9.35
