Date,Automobiles & Components,Banks,Capital Goods,Commercial & Professional Services,Consumer Durables & Apparel,Consumer Services,Diversified Financials,Energy,Food & Staples Retailing,"Food, Beverage & Tobacco",Health Care Equipment & Services,Household & Personal Products,Insurance,Materials,"Pharmaceuticals, Biotechnology & Life Sciences",Real Estate Management & Development,Retailing,Software & Services,Telecommunication Services,Transportation,Utilities
2016-04-05 00:00:00,837.8,907.3,862.42,955.44,907.76,928.68,840.47,923.96,811.57,895.25,966.61,1000,976.52,880.51,894.74,963.46,908.38,,906.64,928.73,909.05
2016-04-06 00:00:00,844.5,909.58,863.08,955.44,901.71,931.44,844.69,919.39,827.53,895.14,957.66,1000,971.51,878.06,894.74,967.25,913.07,,902.93,928.73,902.96
2016-04-07 00:00:00,910.19,922.74,876.19,953.7,906.51,938.55,865.29,943.8,832.15,897.39,975.32,1000,976.15,882.18,894.74,973.37,911.8,,917.18,928.73,919.05
2016-04-08 00:00:00,911.53,930.54,880.47,995.31,915.11,944.97,872.5,956.06,833.61,905.52,978.29,1000,985.6,890.92,894.74,981.07,911.64,,919.83,928.73,935.56
2016-04-11 00:00:00,911.53,933.68,878.36,995.31,913.09,943.09,868.91,959.87,832.64,907.1,971.4,1000,984.35,892.83,894.74,990.87,908.55,,922.48,928.73,927.62
2016-04-12 00:00:00,911.53,945.28,899.89,999.01,926.22,388.38,890.41,972.37,843.34,902.02,1001.57,1000,1013.46,901.62,894.74,969.91,923.9,,912.45,928.73,929.49
2016-04-15 00:00:00,911.53,946.89,901.79,999.01,940.19,389.25,917.05,984.28,846.98,912.41,1003.76,1000,1011.65,907.56,894.74,987.18,918.61,,917.72,928.73,937.12
2016-04-18 00:00:00,894.1,943.08,897.64,998.58,927.72,388.07,899.68,972.6,837.4,913.99,1005.83,1000,1006.75,907.07,894.74,994.43,927.19,,921.42,928.73,938.51
2016-04-19 00:00:00,880.7,945.19,896.56,998.52,926.28,388,903.69,963.91,837.6,914.97,1027.53,1000,1005.13,905.99,894.74,992.69,922.26,,921.42,928.73,940.64
2016-04-20 00:00:00,879.36,948.57,906.87,998.52,933.3,391.8,910.29,975,837.89,918.81,1052.19,1000,1006.07,909.8,894.74,993.08,918.23,,921.42,928.73,953.02
2016-04-22 00:00:00,879.36,949.24,909.34,910.14,937.59,391.49,904.24,982.34,837.69,919.01,1050.06,1000,1003.69,906.72,921.05,990.06,916.81,,926.18,928.73,943.66
2016-04-25 00:00:00,857.91,940.92,894.67,910.14,921.75,391.14,896.1,968.67,853.84,914.92,1048.96,1000,993.17,902.79,921.05,990.43,920.35,,920.37,928.73,930.55
2016-04-26 00:00:00,904.83,943.65,902.19,912.48,926.82,392.66,901.23,970.84,853.23,915.33,1086.69,1000,997.43,932.96,921.05,967.12,916.94,,916.15,928.73,935.93
2016-04-27 00:00:00,922.25,945.61,902.23,912.48,933.98,398.57,910.44,981.16,853.64,920.66,1104.65,1000,1000.44,939.05,921.05,962.97,918.35,,918.8,928.73,941.14
2016-04-28 00:00:00,922.25,941.25,903.2,912.48,934.93,398.25,908.6,998.18,847.54,927,1117.45,1000,1000.35,938.73,921.05,972.98,913.82,,916.15,927.63,936.47
2016-04-29 00:00:00,911.53,952.48,915.95,914.32,961.46,403.93,925.34,1015.85,850.93,936.43,1118.82,1000,1013.56,947.56,921.05,978.25,919.96,,929.89,927.63,954.45
2016-05-03 00:00:00,931.64,974.79,928.74,914.32,964.14,408.68,930.33,1041.66,892.05,940.58,1121.61,1000,1022.28,961.26,921.05,982.61,926.19,,934.64,927.63,948.63
2016-05-04 00:00:00,975.87,968.71,924.16,914.32,965.48,405.69,941.74,1043.07,891.44,937.59,1121.36,1000,1021.4,958.04,921.05,966.53,921.81,,933.59,928.73,945.94
2016-05-05 00:00:00,977.21,968.33,922.55,930.34,954.31,407.5,944.66,1046.64,891.44,941.69,1113.13,1000,1018.82,959.57,921.05,968.83,913.7,,943.11,928.73,947.23
2016-05-06 00:00:00,977.21,968.22,924.6,927.63,964.85,413.28,943.19,1047.64,891.24,938.83,1122.17,1000,1019.96,961.02,921.05,960.03,921.31,,968.42,928.73,951.34
2016-05-09 00:00:00,937,965.39,926.82,924.69,964,407.76,942.28,1059.6,879.28,943.1,1125.25,1000,1022.99,962.04,921.05,953.68,931,,968.42,928.73,950.82
2016-05-10 00:00:00,977.21,972.06,940.21,972.32,963.4,413.1,946.57,1064.59,884.54,943.38,1155.3,1000,1033.13,968.81,921.05,964.03,932.18,,974.74,928.73,949.13
2016-05-11 00:00:00,938.34,962.52,949.41,972.32,973.1,410.75,952.18,",057.43",895.07,949.07,1178.84,1000,1028.03,970.13,921.05,976.97,936.2,,982.12,928.73,964.98
2016-05-12 00:00:00,939.68,961.9,951.29,970.19,976.76,406.8,943.83,1054.26,892.49,955.17,1174.66,1000,1031.36,964.55,921.05,978.15,936.13,,963.68,928.73,960.48
2016-05-13 00:00:00,939.68,961.97,954.19,969.99,979.93,411.63,948.41,1042.35,892.89,957.36,1197.67,1000,1034.97,967.15,921.05,1003.04,940.02,,968.44,928.73,965.36
2016-05-16 00:00:00,939.68,961.32,956.11,969.99,975.79,421.86,953.23,1063,889.46,965.33,1191.43,1000,1038.34,959.18,921.05,1012.85,949.68,,970.04,928.73,960.48
2016-05-17 00:00:00,939.68,951.52,947.86,943.46,962.06,421.24,942.7,1035.78,879.49,957.88,1192.84,1000,1036.86,956.6,921.05,1009.65,951.09,,989.56,928.73,955.61
2016-05-18 00:00:00,939.68,954.19,941.4,943.46,985.13,424.79,944.92,1027.63,879.28,961.9,1211.82,1000,1040.25,962.16,921.58,1003.96,964.85,,980.07,932.02,955.61
2016-05-19 00:00:00,945.04,949.53,935.02,935.85,981.48,420.53,932.95,1024.34,875.65,960.68,1192.09,1000,1020.55,958.61,921.58,1014.02,961.32,,980.07,932.02,965.54
2016-05-20 00:00:00,939.68,949.83,932.81,936.83,971.16,420,936.11,1013.73,875.45,951.8,1189.82,1000,1015.04,954.25,921.58,1009.19,960.19,,995.88,932.02,964.83
2016-05-24 00:00:00,924.93,946.74,923.76,936.83,960.02,411.07,921.14,1001.58,872.62,946.08,1168.42,1000,1001.16,950.63,921.58,1003.97,954.33,,966.33,932.02,959.95
2016-05-25 00:00:00,937,946.97,927.53,936.83,963.03,412.54,920.44,1014.72,878.68,947.35,1167.29,1000,1006.89,950.94,921.58,1007,953.02,,971.09,932.02,954.52
